Arm	Amp_qvalue	Del_qvalue
1p	0.836	0.836
1q	0.0036	0.438
2p	0.836	0.836
2q	0.836	0.836
3p	0.836	0.221
3q	0.836	0.706
4p	0.836	0.0592
4q	0.836	0.706
5p	0.836	0.342
5q	0.836	1.30E-14
6p	0.836	0.706
6q	0.836	0.836
7p	0.836	7.44E-11
7q	0.836	6.93E-14
8p	0.836	0.836
8q	0.829	0.836
9p	0.836	0.803
9q	0.836	0.221
10p	0.836	0.836
10q	0.836	0.836
11p	0.836	0.836
11q	0.466	0.836
12p	0.836	0.00267
12q	0.836	0.156
13q	0.836	0.836
14q	0.836	0.836
15q	0.836	0.836
16p	0.836	0.0381
16q	0.836	0.0462
17p	0.836	6.61E-11
17q	0.836	0.636
18p	0.836	0.0889
18q	0.836	0.32
19p	0.836	0.836
19q	0.836	0.836
20p	0.836	0.803
20q	0.836	0.263
21q	0.00381	0.223
22q	0.836	0.836
