"gene"	"Mean_cloneA"	"Mean_cloneB_del7"	"log2fc"	"ExpressingCells_cloneA"	"nCells_cloneA"	"nCells_cloneB_del7"	"ExpressingCells_cloneB_del7"	"ExpressingFraction_cloneA"	"ExpressingFraction_cloneB_del7"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"PDLIM1"	"PDLIM1"	0.514842996800424	1.9424196849401	1.42757668813968	584	248	73	112	0.125	0.451612903225806	9.42746575212084e-25	1.87321305299151e-23	5.01411839111635e-25	1.02645289609595e-45	1.25596776366301e-41	"up_in_cloneBdel7"	"PDLIM1"
"ATF7IP2"	"ATF7IP2"	1.90836694432259	3.76824464922653	1.85987770490394	584	248	269	195	0.460616438356164	0.786290322580645	9.88734289901281e-18	1.09286123940123e-18	3.66258322764672e-23	3.76329487818671e-39	2.30238380647463e-35	"up_in_cloneBdel7"	"ATF7IP2"
"RPL35A"	"RPL35A"	2.86488207466176	4.45272057733732	1.58783850267556	584	248	412	232	0.705479452054795	0.935483870967742	7.74645803495459e-13	6.39276899143535e-15	4.41599762601609e-22	2.33904113513707e-34	9.54016910984572e-31	"up_in_cloneBdel7"	"RPL35A"
"ATP5E"	"ATP5E"	2.66403055415083	4.32978282543264	1.66575227128181	584	248	393	227	0.672945205479452	0.915322580645161	4.11316228203506e-13	5.89082490768079e-15	5.35219830120946e-21	2.53624984509252e-33	7.75838827613801e-30	"up_in_cloneBdel7"	"ATP5E"
"RPL37"	"RPL37"	3.04835909171122	4.72882040032724	1.68046130861601	584	248	434	236	0.743150684931507	0.951612903225806	7.37663715733437e-12	3.90865962564745e-14	1.17478070010997e-20	3.57076368589938e-32	8.73837289213297e-29	"up_in_cloneBdel7"	"RPL37"
"IFITM3"	"IFITM3"	5.01466771507756	6.79496713402184	1.78029941894428	584	248	516	246	0.883561643835616	0.991935483870968	5.31759841783514e-07	4.79078753518272e-09	5.71400409621685e-25	2.07987342804937e-31	4.24155521093534e-28	"up_in_cloneBdel7"	"IFITM3"
"C19orf77"	"C19orf77"	2.15048603450178	3.76327776347202	1.61279172897025	584	248	256	190	0.438356164383562	0.766129032258065	8.27291550252226e-18	1.51862199428596e-18	1.08408947569627e-14	1.22131055275815e-30	2.13485084622125e-27	"up_in_cloneBdel7"	"C19orf77"
"RPS27L"	"RPS27L"	1.91297406900179	3.41181007042267	1.49883600142089	584	248	275	190	0.470890410958904	0.766129032258065	7.91455976118301e-15	1.79240288396879e-15	3.6597402064067e-17	4.77559898949432e-30	7.30427865443156e-27	"up_in_cloneBdel7"	"RPS27L"
"IFITM2"	"IFITM2"	3.31208385095509	4.90543837665904	1.59335452570396	584	248	390	226	0.667808219178082	0.911290322580645	4.4585530854765e-13	8.59230285907709e-15	1.13297550291328e-16	6.82457357063674e-29	9.2783869122568e-26	"up_in_cloneBdel7"	"IFITM2"
"RPS17L"	"RPS17L"	2.00030298563567	3.25224840159346	1.25194541595779	584	248	308	203	0.527397260273973	0.818548387096774	5.56365062365349e-15	4.58305180353306e-16	1.29137932797119e-14	4.04227609246027e-28	4.94612902673439e-25	"up_in_cloneBdel7"	"RPS17L"
"RPS29"	"RPS29"	2.12465231965731	3.61785905633126	1.49320673667395	584	248	322	203	0.551369863013699	0.818548387096774	4.941168398292e-13	5.01265137721033e-14	2.21277308156014e-16	7.50601045848683e-28	8.3494130881859e-25	"up_in_cloneBdel7"	"RPS29"
"RPS28"	"RPS28"	1.66462216494704	3.0369177907646	1.37229562581756	584	248	260	178	0.445205479452055	0.717741935483871	1.03498025169817e-12	3.64254611244793e-13	9.76965062027202e-16	2.28475396949857e-26	2.18667925368161e-23	"up_in_cloneBdel7"	"RPS28"
"PRDX1"	"PRDX1"	1.25661214243518	2.51739924332301	1.26078710088784	584	248	202	156	0.345890410958904	0.629032258064516	8.10528840806581e-14	6.4226391768763e-14	5.63553060741425e-15	2.3232126755362e-26	2.18667925368161e-23	"up_in_cloneBdel7"	"PRDX1"
"RPS21"	"RPS21"	1.64154671860063	3.0039701299464	1.36242341134578	584	248	273	182	0.467465753424658	0.733870967741935	2.85312582342856e-12	9.42187420962622e-13	5.80815168434967e-16	3.48987490862828e-26	3.05015067014111e-23	"up_in_cloneBdel7"	"RPS21"
"RPL41"	"RPL41"	1.88505259258022	2.98310682530893	1.0980542327287	584	248	368	216	0.63013698630137	0.870967741935484	6.70658791090025e-12	4.98268672290339e-13	2.41634367574748e-15	7.58321925908703e-26	6.18588472361259e-23	"up_in_cloneBdel7"	"RPL41"
"RPL37A"	"RPL37A"	2.27258286642193	3.74437650187845	1.47179363545652	584	248	340	204	0.582191780821918	0.82258064516129	4.48596806189853e-11	7.89888118315319e-12	2.87878698386018e-16	1.4177500634755e-25	1.08422436104288e-22	"up_in_cloneBdel7"	"RPL37A"
"RPLP1"	"RPLP1"	4.8680078485715	6.17745296081462	1.30944511224313	584	248	523	246	0.895547945205479	0.991935483870968	3.10374770198348e-06	7.15837082906771e-08	5.15057092879523e-20	2.28094351354184e-25	1.6417426371587e-22	"up_in_cloneBdel7"	"RPLP1"
"RPS15A"	"RPS15A"	1.41367751074286	2.43624735950793	1.02256984876507	584	248	271	184	0.464041095890411	0.741935483870968	3.11596182883554e-13	9.05628833405056e-14	5.27869360221519e-14	2.94506159146667e-25	2.0019874240659e-22	"up_in_cloneBdel7"	"RPS15A"
"RAC2"	"RAC2"	1.26237500808499	2.37291446940603	1.11053946132103	584	248	180	148	0.308219178082192	0.596774193548387	1.22853360407266e-14	1.4628766101744e-14	3.99701979549043e-13	3.59037286310516e-25	2.31220012383973e-22	"up_in_cloneBdel7"	"RAC2"
"AIF1"	"AIF1"	3.34954933277801	4.90996094557711	1.5604116127991	584	248	399	221	0.683219178082192	0.891129032258065	5.3605254823757e-10	4.06254624412961e-11	1.86046799420035e-16	4.62164739515712e-25	2.82752387635712e-22	"up_in_cloneBdel7"	"AIF1"
"POLR2L"	"POLR2L"	0.949991963691401	1.92541315901772	0.975421195326318	584	248	168	139	0.287671232876712	0.560483870967742	1.57151538330162e-13	1.70006640966843e-13	1.28088810088422e-13	1.30849477384722e-24	7.62416288228313e-22	"up_in_cloneBdel7"	"POLR2L"
"COX7C"	"COX7C"	1.11536101679316	2.3332920268111	1.21793101001793	584	248	194	145	0.332191780821918	0.584677419354839	2.04849029325298e-11	2.22424151669629e-11	2.31654960545016e-14	2.93310491429784e-23	1.6313396241522e-20	"up_in_cloneBdel7"	"COX7C"
"ATPIF1"	"ATPIF1"	1.62151647500006	2.80950017241514	1.18798369741509	584	248	246	171	0.421232876712329	0.689516129032258	2.49485851527828e-12	1.19446734352909e-12	4.90305681977928e-13	3.32634372620259e-23	1.76961486233978e-20	"up_in_cloneBdel7"	"ATPIF1"
"ATP5G2"	"ATP5G2"	2.34197500555242	3.59304133595233	1.25106633039991	584	248	338	205	0.578767123287671	0.826612903225806	1.134238579297e-11	1.49765508814521e-12	7.16980031988328e-13	6.03371038286842e-23	3.07618667686575e-20	"up_in_cloneBdel7"	"ATP5G2"
"SNRPG"	"SNRPG"	1.94463203496084	3.07927481753688	1.13464278257604	584	248	306	195	0.523972602739726	0.786290322580645	2.67727048300989e-12	6.18741006151631e-13	2.11310437946692e-12	7.32100957074431e-23	3.49637266663574e-20	"up_in_cloneBdel7"	"SNRPG"
"TSTD1"	"TSTD1"	1.72243007376766	2.92126264272793	1.19883256896027	584	248	252	174	0.431506849315068	0.701612903225806	1.74212655004763e-12	6.97501478984804e-13	1.90274845422964e-12	7.42936329948751e-23	3.49637266663574e-20	"up_in_cloneBdel7"	"TSTD1"
"C12orf5"	"C12orf5"	0.191354814986714	0.765076064860704	0.573721249873991	584	248	37	59	0.0633561643835616	0.237903225806452	1.34434520710477e-12	9.26947105433196e-12	3.79439005563719e-13	1.93461334290093e-22	8.76738106064288e-20	"up_in_cloneBdel7"	"C12orf5"
"IFITM1"	"IFITM1"	1.61593074229862	2.62068643084277	1.00475568854415	584	248	321	194	0.549657534246575	0.782258064516129	4.33948937874481e-10	1.16857833227614e-10	3.42351656461568e-14	2.1953786399527e-22	9.5938046565933e-20	"up_in_cloneBdel7"	"IFITM1"
"GSTP1"	"GSTP1"	4.63681807033614	6.11350795930448	1.47668988896834	584	248	478	240	0.818493150684932	0.967741935483871	1.95085236683086e-08	4.5165374107482e-10	9.78589728769802e-15	2.42100730173328e-22	1.02149811531063e-19	"up_in_cloneBdel7"	"GSTP1"
"RPL6"	"RPL6"	2.13644794687224	3.27906898809901	1.14262104122678	584	248	304	198	0.520547945205479	0.798387096774194	1.20776954793507e-13	1.66751714178659e-14	3.19042283407216e-10	2.90426369322975e-22	1.18455235167864e-19	"up_in_cloneBdel7"	"RPL6"
"CALM3"	"CALM3"	1.40037250506106	2.52202754866672	1.12165504360566	584	248	188	147	0.321917808219178	0.592741935483871	5.65360069053031e-13	6.85273484860974e-13	1.46248125071067e-11	5.40759455730172e-22	2.13442990332722e-19	"up_in_cloneBdel7"	"CALM3"
"H2AFY"	"H2AFY"	2.18803195175927	3.43344391092685	1.24541195916758	584	248	316	196	0.541095890410959	0.790322580645161	2.37247388466026e-11	4.84459673498641e-12	3.2646488597408e-12	8.46167262889839e-22	3.23553207147502e-19	"up_in_cloneBdel7"	"H2AFY"
"RPS17"	"RPS17"	0.951252564694649	1.63724421322976	0.685991648535107	584	248	223	161	0.381849315068493	0.649193548387097	2.56821716312769e-12	1.74397813870466e-12	1.36764662514622e-11	1.26627860939084e-21	4.69520759530495e-19	"up_in_cloneBdel7"	"RPS17"
"COX6C"	"COX6C"	2.63304187943942	3.88193821610442	1.248896336665	584	248	392	213	0.671232876712329	0.858870967741935	4.42497608443933e-08	9.21198706063653e-09	4.80735591138697e-15	2.32371124593564e-21	8.36262670743191e-19	"up_in_cloneBdel7"	"COX6C"
"RPL39"	"RPL39"	2.69035920480051	4.08193806272106	1.39157885792055	584	248	392	213	0.671232876712329	0.858870967741935	4.42497608443933e-08	9.21198706063653e-09	8.27177641134014e-15	3.95693987121996e-21	1.3833461789785e-18	"up_in_cloneBdel7"	"RPL39"
"ATP5L"	"ATP5L"	2.02260799119982	3.22903233200092	1.2064243408011	584	248	316	190	0.541095890410959	0.766129032258065	1.9191350533438e-09	6.68688559458712e-10	2.2920777061279e-13	7.85192813338198e-21	2.66878312889061e-18	"up_in_cloneBdel7"	"ATP5L"
"RPS23"	"RPS23"	1.00372786106785	1.7784870524696	0.77475919140175	584	248	214	154	0.366438356164384	0.620967741935484	2.30468985024872e-11	2.17833754744409e-11	8.63155248163462e-12	9.59403090407149e-21	3.1727719497897e-18	"up_in_cloneBdel7"	"RPS23"
"RPS12"	"RPS12"	2.34975891803533	3.67224401931695	1.32248510128162	584	248	325	194	0.556506849315068	0.782258064516129	1.27705725903321e-09	4.67096517412266e-10	7.22760786551169e-13	1.70285577762775e-20	5.35282187569995e-18	"up_in_cloneBdel7"	"RPS12"
"RPS5"	"RPS5"	2.55636161518213	4.00024612908541	1.44388451390328	584	248	311	193	0.532534246575342	0.778225806451613	5.53489347584766e-11	1.70441647843484e-11	1.98459704146428e-11	1.70611354325186e-20	5.35282187569995e-18	"up_in_cloneBdel7"	"RPS5"
"NGFRAP1"	"NGFRAP1"	1.5795392529879	2.9526209986465	1.3730817456586	584	248	228	155	0.39041095890411	0.625	8.5810608520862e-10	5.93879449434165e-10	6.14877957248015e-13	1.8390247765487e-20	5.62557679146246e-18	"up_in_cloneBdel7"	"NGFRAP1"
"H3F3B"	"H3F3B"	8.40732010425581	7.4827500164724	-0.924570087783406	584	248	583	247	0.998287671232877	0.995967741935484	0.999999999999999	0.507555771544945	9.59939928701673e-22	2.43968758504929e-20	7.28097982699099e-18	"up_in_cloneA"	"H3F3B"
"COX6B1"	"COX6B1"	1.84592482856587	3.01957368355729	1.17364885499142	584	248	265	174	0.453767123287671	0.701612903225806	9.53309813766588e-11	4.8314241034715e-11	1.10182356974019e-11	2.66087741609039e-20	7.68585302688979e-18	"up_in_cloneBdel7"	"COX6B1"
"RPS27"	"RPS27"	4.03810043142354	5.54885785536063	1.51075742393709	584	248	502	239	0.85958904109589	0.963709677419355	1.86824784896443e-05	2.68323277539874e-06	2.01445561220842e-16	2.70097809869451e-20	7.68585302688979e-18	"up_in_cloneBdel7"	"RPS27"
"BTF3"	"BTF3"	1.83679264336102	2.991613837189	1.15482119382798	584	248	285	181	0.488013698630137	0.729838709677419	2.13304549435745e-10	1.03064308972929e-10	6.63687143956564e-12	3.40193110016917e-20	9.4604611231068e-18	"up_in_cloneBdel7"	"BTF3"
"KRT18"	"KRT18"	1.12243551863654	1.98263454323274	0.860199024596203	584	248	135	120	0.231164383561644	0.483870967741935	8.69661072422609e-13	1.53395392632743e-12	1.35742455486149e-09	1.01239631398968e-19	2.75281806621728e-17	"up_in_cloneBdel7"	"KRT18"
"PLAC8"	"PLAC8"	1.4893862187792	2.58873660854834	1.09935038976914	584	248	234	160	0.400684931506849	0.645161290322581	1.7218800885571e-10	1.34218102417316e-10	2.15252308515026e-11	1.39523142021117e-19	3.71131557776172e-17	"up_in_cloneBdel7"	"PLAC8"
"SNRPB2"	"SNRPB2"	1.21503307944629	2.21824089130252	1.00320781185623	584	248	202	145	0.345890410958904	0.584677419354839	2.74255115649775e-10	2.28424221868902e-10	2.39663637559525e-11	2.60882747604834e-19	6.79183255253776e-17	"up_in_cloneBdel7"	"SNRPB2"
"KRAS"	"KRAS"	2.6410191663351	4.09061733467534	1.44959816834024	584	248	311	193	0.532534246575342	0.778225806451613	5.53489347584766e-11	1.70441647843484e-11	3.69080705729499e-10	2.98902675141226e-19	7.61952736047508e-17	"up_in_cloneBdel7"	"KRAS"
"GMFG"	"GMFG"	4.38573174784098	5.64709580121461	1.26136405337363	584	248	481	236	0.823630136986301	0.951612903225806	1.72899727151555e-06	1.67343496817057e-07	3.93704137613002e-14	3.12743800833789e-19	7.80965948367804e-17	"up_in_cloneBdel7"	"GMFG"
"SLC25A6"	"SLC25A6"	1.59905174495822	2.42115491892676	0.822103173968543	584	248	247	172	0.422945205479452	0.693548387096774	1.60649821213054e-12	6.98521868013571e-13	1.4304770205773e-08	4.70157573068405e-19	1.150569612813e-16	"up_in_cloneBdel7"	"SLC25A6"
"RPL31"	"RPL31"	3.90236616522045	5.15941111077418	1.25704494555373	584	248	486	234	0.832191780821918	0.943548387096774	2.74578251261722e-05	6.81047485933711e-06	2.21378381996238e-15	7.0320441955551e-19	1.68713907405514e-16	"up_in_cloneBdel7"	"RPL31"
"ELOVL5"	"ELOVL5"	0.635661072846172	1.43111549508883	0.795454422242659	584	248	111	100	0.190068493150685	0.403225806451613	1.80610915218712e-10	3.7681265968744e-10	4.11626932030637e-11	7.22993016719529e-19	1.70125818318849e-16	"up_in_cloneBdel7"	"ELOVL5"
"RPS27A"	"RPS27A"	4.06253350035024	5.21118327734796	1.14864977699772	584	248	477	238	0.816780821917808	0.959677419354839	1.07029759346048e-07	3.97895889157521e-09	3.98280747441208e-12	7.38351915213753e-19	1.70461774236896e-16	"up_in_cloneBdel7"	"RPS27A"
"RPS7"	"RPS7"	2.24885052070703	3.31633081978101	1.06748029907398	584	248	333	199	0.570205479452055	0.80241935483871	2.94327924060247e-10	6.8132524255881e-11	2.63142006642022e-10	8.33100986779637e-19	1.88774512485845e-16	"up_in_cloneBdel7"	"RPS7"
"RPL35"	"RPL35"	4.25775469314317	5.37365069199975	1.11589599885658	584	248	504	243	0.863013698630137	0.979838709677419	6.89865331076803e-07	1.63128741462865e-08	3.00289907426394e-12	2.22703459565309e-18	4.95454460225659e-16	"up_in_cloneBdel7"	"RPL35"
"CASP2"	"CASP2"	1.91314552785904	0.960451065152091	-0.952694462706945	584	248	339	88	0.580479452054795	0.354838709677419	4.09299979443085e-09	2.75507315047837e-09	3.08711848302986e-11	3.81978877798052e-18	8.34623847988744e-16	"up_in_cloneA"	"CASP2"
"RPL26"	"RPL26"	1.04903074955518	1.8495996269124	0.800568877357227	584	248	238	157	0.407534246575342	0.633064516129032	4.03091601933435e-09	2.71284716768179e-09	3.2427017382009e-11	3.94783521421865e-18	8.38693742464406e-16	"up_in_cloneBdel7"	"RPL26"
"VKORC1"	"VKORC1"	0.360636017709111	0.902052037650519	0.541416019941408	584	248	61	71	0.104452054794521	0.286290322580645	1.02705327325697e-10	3.68109628088185e-10	2.4068952785765e-10	3.97550155793851e-18	8.38693742464406e-16	"up_in_cloneBdel7"	"VKORC1"
"RPS19"	"RPS19"	6.64306866365765	7.39049458821975	0.7474259245621	584	248	578	248	0.98972602739726	1	0.248442730005489	0.186926409866196	7.32881182610821e-19	6.08727616613369e-18	1.26243917235274e-15	"up_in_cloneBdel7"	"RPS19"
"TALDO1"	"TALDO1"	1.91546370867698	2.97126893364761	1.05580522497063	584	248	268	176	0.458904109589041	0.709677419354839	5.51253493215037e-11	2.7311895178766e-11	5.40202107891526e-09	6.5448775173031e-18	1.33471868836201e-15	"up_in_cloneBdel7"	"TALDO1"
"RPS18"	"RPS18"	5.28846851929496	6.18426694527018	0.895798425975215	584	248	557	246	0.953767123287671	0.991935483870968	0.011116838937877	0.00362012505741017	6.01781745483914e-17	9.57907729375347e-18	1.92146868469455e-15	"up_in_cloneBdel7"	"RPS18"
"STMN1"	"STMN1"	3.71871433631119	5.17713616502214	1.45842182871096	584	248	403	222	0.690068493150685	0.895161290322581	6.76256730817567e-10	5.05009467015385e-11	4.42121259737923e-09	9.81203508447974e-18	1.9364526015112e-15	"up_in_cloneBdel7"	"STMN1"
"HDGF"	"HDGF"	1.23302570308992	2.06334159215253	0.830315889062615	584	248	206	147	0.352739726027397	0.592741935483871	2.44664809694392e-10	2.38289262954471e-10	1.0402566709774e-09	1.08674773893059e-17	2.11070560850075e-15	"up_in_cloneBdel7"	"HDGF"
"RPL34"	"RPL34"	3.54564311121878	4.70661948697377	1.16097637575499	584	248	474	228	0.811643835616438	0.919354838709677	0.000139211633813069	6.28301399526454e-05	4.2933668266632e-15	1.18035158351914e-17	2.25668468374066e-15	"up_in_cloneBdel7"	"RPL34"
"CPSF6"	"CPSF6"	0.92036983675124	1.56016306410115	0.639793227349914	584	248	167	130	0.285958904109589	0.524193548387097	9.08126586638501e-11	1.05735428425023e-10	3.0410546239629e-09	1.40133949545165e-17	2.6302962484793e-15	"up_in_cloneBdel7"	"CPSF6"
"MT-ND3"	"MT-ND3"	1.2710995227259	2.13055104774261	0.859451525016715	584	248	188	140	0.321917808219178	0.564516129032258	9.65385573414812e-11	9.09031361518082e-11	3.58226480106288e-09	1.41876064399831e-17	2.6302962484793e-15	"up_in_cloneBdel7"	"MT-ND3"
"SNRPF"	"SNRPF"	0.617375921582949	1.21301687225554	0.595640950672587	584	248	122	105	0.208904109589041	0.423387096774194	3.653105660229e-10	6.03836148512196e-10	1.00048848289405e-09	2.59477307375435e-17	4.73875273588928e-15	"up_in_cloneBdel7"	"SNRPF"
"PRDX6"	"PRDX6"	1.37058886835705	2.24112182621047	0.870532957853416	584	248	192	143	0.328767123287671	0.576612903225806	4.38614567427994e-11	3.80490961611123e-11	1.8990995950898e-08	3.09062280778408e-17	5.561303040595e-15	"up_in_cloneBdel7"	"PRDX6"
"LDHB"	"LDHB"	2.51484892580861	3.74256430840709	1.22771538259848	584	248	312	190	0.534246575342466	0.766129032258065	6.55534965841072e-10	2.54637872395484e-10	3.14296732216471e-09	3.41490124052193e-17	6.05575819985889e-15	"up_in_cloneBdel7"	"LDHB"
"RPL27"	"RPL27"	3.48411482578912	4.55985465235922	1.0757398265701	584	248	461	229	0.789383561643836	0.923387096774194	4.25215312795041e-06	9.93628032031403e-07	9.20351538758215e-13	3.88985529220127e-17	6.7445283227682e-15	"up_in_cloneBdel7"	"RPL27"
"RPL36"	"RPL36"	1.38449550033775	2.15702771386296	0.77253221352521	584	248	284	177	0.486301369863014	0.713709677419355	2.5231719334118e-09	1.34691839251116e-09	6.83182612829685e-10	3.9135461827112e-17	6.7445283227682e-15	"up_in_cloneBdel7"	"RPL36"
