Pathway	NES	FDR_q_val	Group
REACTOME_SIGNALING_BY_WNT	2.369718	9.81E-05	WNT_signalling
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	2.361784	9.02E-05	WNT_signalling
REACTOME_REGULATION_OF_RAS_BY_GAPS	2.2794154	2.15E-04	RAS_signalling
REACTOME_SIGNALING_BY_CSF3_G_CSF	1.9006649	0.004671997	RAS_signalling
REACTOME_MAPK6_MAPK4_SIGNALING	2.1014721	7.06E-04	MAPK_signalling
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	1.9746888	0.002422225	MAPK_signalling
REACTOME_MAP2K_AND_MAPK_ACTIVATION	1.9498324	0.002952399	MAPK_signalling
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	1.9002054	0.00466202	Cell_cycle
REACTOME_S_PHASE	2.087329	8.20E-04	Cell_cycle
REACTOME_MITOTIC_G2_G2_M_PHASES	1.9442762	0.003112095	Cell_cycle
