"Gene"	"ExpA"	"ExpB"	"FoldChange"	"log2FC"	"ExpFreqA"	"ExpFreqB"	"TotalA"	"TotalB"	"ExpFractionA"	"ExpFractionB"	"fishers.pval"	"wilcoxon.pval"	"combined.pval"	"adjusted.pval"
"RSPO1"	0.0159673388727727	1.00129699559512	0.0159466561300152	-5.97060225421111	139	2232	7881	8165	0.0176373556655247	0.273361910593999	0	0	0	0
"C1orf228"	4.03934467731462	2.5562270072765	1.58019795026667	0.660105295098579	5681	4320	7881	8165	0.720847608171552	0.529087568891611	9.57538982087083e-140	1.2142351663513e-209	0	0
"SELL"	2.17032749972617	4.20978340992326	0.51554374379696	-0.955833249677149	3318	5721	7881	8165	0.421012561857632	0.700673606858543	8.66133800848785e-283	0	0	0
"MIR181A1HG"	2.43393974949011	1.04927753647483	2.31963390512218	1.21389713080929	4188	2133	7881	8165	0.5314046440807	0.261236987140233	2.75004830233065e-272	5.85006416400672e-296	0	0
"PSME4"	2.16700819818571	1.04501862452756	2.07365509793224	1.05217595688917	4148	2531	7881	8165	0.526329146047456	0.309981628903858	2.66861355375458e-171	1.15542760913142e-210	0	0
"PELI1"	1.67710397972821	0.713039128344971	2.35205041779533	1.23391898565204	3121	1676	7881	8165	0.396015734043903	0.20526638089406	4.99256973084911e-155	1.318040870243e-175	0	0
"MAP4K4"	1.12874258975706	0.390161658140399	2.89301259159322	1.53257260248962	2325	973	7881	8165	0.295013323182337	0.119167176974893	1.02615124335642e-170	3.05931186239352e-174	0	0
"PDK1"	0.939780126314774	0.183014372051595	5.13500724440283	2.3603663118807	2105	526	7881	8165	0.267098083999492	0.0644213104715248	7.51648760429669e-278	5.71167325896914e-270	0	0
"IL1RAP"	0.714140822717139	0.140197307258625	5.09382695489112	2.34874994988284	1607	399	7881	8165	0.203908133485598	0.0488671157379057	8.14800071353288e-205	1.78325035845036e-197	0	0
"TFRC"	2.71520985682689	1.52448770355275	1.78106379638171	0.832739193629378	4952	3360	7881	8165	0.628346656515671	0.411512553582364	1.58856883874697e-167	6.06806295881703e-208	0	0
"CRHBP"	0.705765263181698	2.54424937099148	0.277396261242532	-1.84997975179401	1396	4209	7881	8165	0.177134881360233	0.515492957746479	0	0	0	0
"ARRDC3"	0.878761513110336	2.09318211940671	0.419820857900034	-1.25215424926394	2018	4028	7881	8165	0.256058875777186	0.493325168401715	5.10035656720736e-214	7.97965477245351e-251	0	0
"CD74"	7.08968788619888	9.09614372587576	0.779416871572827	-0.359532933882074	7509	8109	7881	8165	0.952797868290826	0.993141457440294	2.763613642644e-62	0	0	0
"DUSP1"	3.69813156345892	5.44802837055398	0.678801818185626	-0.558937665711156	5505	6922	7881	8165	0.698515416825276	0.847764849969382	1.67321854917658e-114	5.27872551440867e-272	0	0
