gene_short_name	direction
BTG2	Overlap: Fischer up_HSPC MUT down
CYFIP2	Overlap: Fischer up_HSPC MUT down
TRIM22	Overlap: Fischer up_HSPC MUT down
YPEL3	Overlap: Fischer up_HSPC MUT down
DGKZ	Overlap: Fischer up_HSPC MUT down
IRF5	Overlap: Fischer up_HSPC MUT down
ANXA1	Overlap: Fischer up_HSPC MUT down
DUSP1	Overlap: Fischer up_HSPC MUT down
RARRES3	Overlap: Fischer up_HSPC MUT down
PYCARD	Overlap: Fischer up_HSPC MUT down
PTGS2	Overlap: Fischer down_HSPC MUT up
RGCC	Overlap: Fischer down_HSPC MUT up
LONP1	Overlap: Fischer down_HSPC MUT up
ODC1	Overlap: Fischer down_HSPC MUT up
SOD2	Overlap: Fischer down_HSPC MUT up
DNMT1	Overlap: Fischer down_HSPC MUT up
MDM2	Overlap: Fischer up_HSPC MUT up
GADD45A	Overlap: Fischer up_HSPC MUT up
PLK3	Overlap: Fischer up_HSPC MUT up
TRIAP1	Overlap: Fischer up_HSPC MUT up
AEN	Overlap: Fischer up_HSPC MUT up
SESN1	Overlap: Fischer up_HSPC MUT up
TP53INP1	Overlap: Fischer up_HSPC MUT up
ATF3	Overlap: Fischer up_HSPC MUT up
PRKAB1	Overlap: Fischer up_HSPC MUT up
PTP4A1	Overlap: Fischer up_HSPC MUT up
IER5	Overlap: Fischer up_HSPC MUT up
PMAIP1	Overlap: Fischer up_HSPC MUT up
DHRS3	Overlap: Fischer up_HSPC MUT up
BTG3	Overlap: Fischer up_HSPC MUT up
BID	Overlap: Fischer up_HSPC MUT up
HTT	Overlap: Fischer up_HSPC MUT up
IRF2BP2	Overlap: Fischer up_HSPC MUT up
MAP4K4	Overlap: Fischer up_HSPC MUT up
DUSP2	Overlap: Fischer up_HSPC MUT up
FDPS	Overlap: Fischer up_HSPC MUT up
IRF9	Overlap: Fischer up_HSPC MUT up
LDLR	Overlap: Fischer up_HSPC MUT up
SIAH1	Overlap: Fischer up_HSPC MUT up
SUB1	Overlap: Fischer up_HSPC MUT up
ULK1	Overlap: Fischer up_HSPC MUT up
CERS6	Overlap: Fischer up_HSPC MUT up
HSPA8	Overlap: Fischer down_HSPC MUT down
ME3	Overlap: Fischer down_HSPC MUT down
PROM1	Overlap: Fischer down_HSPC MUT down
TBXAS1	Overlap: Fischer down_HSPC MUT down
CDKN1A	No overlap: Fischer unique
RRM2B	No overlap: Fischer unique
SUSD6	No overlap: Fischer unique
DDB2	No overlap: Fischer unique
TIGAR	No overlap: Fischer unique
RPS27L	No overlap: Fischer unique
TNFRSF10B	No overlap: Fischer unique
ZMAT3	No overlap: Fischer unique
BAX	No overlap: Fischer unique
PGF	No overlap: Fischer unique
POLH	No overlap: Fischer unique
PPM1D	No overlap: Fischer unique
SULF2	No overlap: Fischer unique
XPC	No overlap: Fischer unique
FAS	No overlap: Fischer unique
GPR87	No overlap: Fischer unique
NINJ1	No overlap: Fischer unique
PLK2	No overlap: Fischer unique
TP53I3	No overlap: Fischer unique
ABCA12	No overlap: Fischer unique
CCNG1	No overlap: Fischer unique
DRAM1	No overlap: Fischer unique
FBXO22	No overlap: Fischer unique
ISCU	No overlap: Fischer unique
PHLDA3	No overlap: Fischer unique
SERPINB5	No overlap: Fischer unique
TRAF4	No overlap: Fischer unique
CES2	No overlap: Fischer unique
KITLG	No overlap: Fischer unique
BBC3	No overlap: Fischer unique
EDA2R	No overlap: Fischer unique
EPHA2	No overlap: Fischer unique
FDXR	No overlap: Fischer unique
LIF	No overlap: Fischer unique
SPATA18	No overlap: Fischer unique
TGFA	No overlap: Fischer unique
TLR3	No overlap: Fischer unique
ZNF79	No overlap: Fischer unique
CD82	No overlap: Fischer unique
CDIP1	No overlap: Fischer unique
CSF1	No overlap: Fischer unique
FUCA1	No overlap: Fischer unique
PADI4	No overlap: Fischer unique
PANK1	No overlap: Fischer unique
PRDM1	No overlap: Fischer unique
RAP2B	No overlap: Fischer unique
RRAD	No overlap: Fischer unique
ACTA2	No overlap: Fischer unique
EDN2	No overlap: Fischer unique
ALOX5	No overlap: Fischer unique
DDR1	No overlap: Fischer unique
E2F7	No overlap: Fischer unique
GLS2	No overlap: Fischer unique
GPX1	No overlap: Fischer unique
NOTCH1	No overlap: Fischer unique
RABGGTA	No overlap: Fischer unique
TNFRSF10A	No overlap: Fischer unique
SERPINE1	No overlap: Fischer unique
APAF1	No overlap: Fischer unique
BCL6	No overlap: Fischer unique
LIMK2	No overlap: Fischer unique
PIDD1	No overlap: Fischer unique
PML	No overlap: Fischer unique
VCAN	No overlap: Fischer unique
CEL	No overlap: Fischer unique
DAPK1	No overlap: Fischer unique
LMNA	No overlap: Fischer unique
PLTP	No overlap: Fischer unique
PRODH	No overlap: Fischer unique
RND3	No overlap: Fischer unique
RNF144B	No overlap: Fischer unique
S100A2	No overlap: Fischer unique
SEMA3B	No overlap: Fischer unique
STX6	No overlap: Fischer unique
TP73	No overlap: Fischer unique
TRIM32	No overlap: Fischer unique
AIFM2	No overlap: Fischer unique
CASP6	No overlap: Fischer unique
CAV1	No overlap: Fischer unique
CCNK	No overlap: Fischer unique
CGB7	No overlap: Fischer unique
DUSP5	No overlap: Fischer unique
HRAS	No overlap: Fischer unique
KRT8	No overlap: Fischer unique
PCBP4	No overlap: Fischer unique
PERP	No overlap: Fischer unique
PPM1J	No overlap: Fischer unique
RBM38	No overlap: Fischer unique
RHOC	No overlap: Fischer unique
SCN3B	No overlap: Fischer unique
TP53	No overlap: Fischer unique
VDR	No overlap: Fischer unique
ACAD11	No overlap: Fischer unique
APC	No overlap: Fischer unique
ARID3A	No overlap: Fischer unique
ARNT2	No overlap: Fischer unique
BANP	No overlap: Fischer unique
C10ORF54	No overlap: Fischer unique
CST5	No overlap: Fischer unique
CYP21A2	No overlap: Fischer unique
DKK1	No overlap: Fischer unique
ERAP1	No overlap: Fischer unique
FOS	No overlap: Fischer unique
GAMT	No overlap: Fischer unique
GCH1	No overlap: Fischer unique
GDF9	No overlap: Fischer unique
KIAA0513	No overlap: Fischer unique
LPIN1	No overlap: Fischer unique
MET	No overlap: Fischer unique
MMP2	No overlap: Fischer unique
NCF2	No overlap: Fischer unique
NOV	No overlap: Fischer unique
PLAGL1	No overlap: Fischer unique
PMS2	No overlap: Fischer unique
PRAP1	No overlap: Fischer unique
PTCHD4	No overlap: Fischer unique
PTEN	No overlap: Fischer unique
RCHY1	No overlap: Fischer unique
SEMA3F	No overlap: Fischer unique
SGK1	No overlap: Fischer unique
SYK	No overlap: Fischer unique
TLR6	No overlap: Fischer unique
TSC2	No overlap: Fischer unique
EGFR	No overlap: Fischer unique
TFAP2A	No overlap: Fischer unique
TFAP2C	No overlap: Fischer unique
AGT	No overlap: Fischer unique
AGTR1	No overlap: Fischer unique
AIFM1	No overlap: Fischer unique
APOB	No overlap: Fischer unique
APOBEC1	No overlap: Fischer unique
