ID	Description	GeneRatio	BgRatio	enrichment	pvalue	p.adjust	qvalue	geneID	Count
GO:0072331	signal transduction by p53 class mediator	11/45	267/18866	17.2722430295464	2.4628781138315e-11	4.20905869653803e-08	2.9398987169315e-08	BTG2/PYCARD/RGCC/MDM2/GADD45A/PLK3/TRIAP1/AEN/TP53INP1/PRKAB1/PMAIP1	11
GO:0007050	cell cycle arrest	9/45	234/18866	16.1247863247863	3.58025702039148e-09	9.1234356053172e-07	6.37244062482197e-07	BTG2/DUSP1/RGCC/MDM2/GADD45A/PLK3/TRIAP1/TP53INP1/PRKAB1	9
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	6/45	56/18866	44.9190476190476	3.8674373792766e-09	9.1234356053172e-07	6.37244062482197e-07	BTG2/RGCC/MDM2/GADD45A/PLK3/TRIAP1	6
GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	6/45	57/18866	44.1309941520468	4.3147652465764e-09	9.1234356053172e-07	6.37244062482197e-07	BTG2/RGCC/MDM2/GADD45A/PLK3/TRIAP1	6
GO:2001242	regulation of intrinsic apoptotic signaling pathway	8/45	166/18866	20.2045515394913	4.95706803282869e-09	9.1234356053172e-07	6.37244062482197e-07	PYCARD/PTGS2/SOD2/MDM2/TRIAP1/PMAIP1/BID/SIAH1	8
GO:0072413	signal transduction involved in mitotic cell cycle checkpoint	6/45	59/18866	42.6350282485876	5.3384643682371e-09	9.1234356053172e-07	6.37244062482197e-07	BTG2/RGCC/MDM2/GADD45A/PLK3/TRIAP1	6
GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint	6/45	59/18866	42.6350282485876	5.3384643682371e-09	9.1234356053172e-07	6.37244062482197e-07	BTG2/RGCC/MDM2/GADD45A/PLK3/TRIAP1	6
GO:0044783	G1 DNA damage checkpoint	6/45	64/18866	39.3041666666667	8.80457034403635e-09	1.07478647985415e-06	7.50705471438888e-07	BTG2/RGCC/MDM2/GADD45A/PLK3/TRIAP1	6
GO:1902806	regulation of cell cycle G1/S phase transition	8/45	206/18866	16.2813376483279	2.68820276586163e-08	2.29706926342877e-06	1.6044325981511e-06	BTG2/ANXA1/RGCC/MDM2/GADD45A/PLK3/TRIAP1/BID	8
GO:0031331	positive regulation of cellular catabolic process	9/45	390/18866	9.67487179487179	2.88562318984243e-07	1.8264926042373e-05	1.27574919971981e-05	BTG2/TRIM22/MDM2/PLK3/SESN1/TP53INP1/HTT/LDLR/ULK1	9
