pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00105485232067511	0.0537974683544304	-0.585483717350811	-1.64307981986231	0	134	ATP6V0E1|NDUFB2|UQCRQ|NDUFB3|PRDX3|NDUFB1|SDHC|SLC25A11|COX7C|NDUFB5|SLC25A6|TIMM10|NDUFA2|HADHA|DECR1|SLC25A4|PDHB|NDUFB6|NDUFS7|NDUFS2|ACADM|OAT|HADHB|ETFA|NDUFS4|LDHB|NDUFA8|ACADVL|ECH1|IMMT|ATP6V1C1|OGDH|VDAC3|VDAC1|RHOT2|TIMM8B|GOT2|COX15|BDH2|MRPL34|SDHA|SUCLA2|NDUFA5|ECHS1|POLR2F|HSPA9|NDUFC1|UQCR10|CYB5R3|NDUFA3|ACADSB|UQCRC1|COX17|
UQCRB|MRPL35|RHOT1|FH|PDHX|ACAT1
HALLMARK_MYC_TARGETS_V1	0.00632911392405063	0.0730136005726557	-0.516487237326343	-1.45025310746622	5	133	NPM1|SRSF1|CANX|PRDX3|YWHAE|HSPD1|CCT7|IFRD1|NOP56|G3BP1|IMPDH2|SF3B3|EIF4G2|BUB3|MYC|RPL34|CLNS1A|PPIA|LSM2|MRPS18B|CCT3|C1QBP|HSPE1|CUL1|RSL1D1|VDAC3|VDAC1|SRSF7|EIF4A1|GOT2|CCT5|RPL14|RPS10|EIF4H|SSBP1|RUVBL2|HSP90AB1|CCT2|SF3A1|STARD7|AIMP2|EIF2S1|RRP9|TRIM28|SNRPA|HNRNPA2B1
HALLMARK_HEME_METABOLISM	0.0063626723223754	0.0730136005726557	-0.512085778951026	-1.43137519379883	5	128	NFE2|UCP2|PIGQ|HAGH|GATA1|EIF2AK1|MINPP1|BLVRA|UROD|KLF1|CAT|LMO2|DAAM1|CAST|TRIM58|EPOR|NR3C1|NEK7|SLC25A38|PPOX|ADD1|BLVRB|ARL2BP|CPOX|NCOA4|TNRC6B|CROCCP2|FBXO9|HEBP1|ANK1|LPIN2|PSMD9|CTNS|ALAD|PGLS|CCDC28A|ATP6V0A1|AGPAT4|LRP10|HTRA2|ENDOD1|TAL1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0101010101010101	0.0730136005726557	0.579432539644094	1.99196037637645	0	74	IFITM1|LPAR6|IFI44L|IFIT3|IFITM2|IRF9|IFI44|LY6E|IFITM3|MX1|ISG15|CD47|IRF1|RIPK2|EIF2AK2|LGALS3BP|CASP8|ISG20|ADAR|IFIT2|OASL|CNP
HALLMARK_KRAS_SIGNALING_UP	0.0125	0.0730136005726557	0.404138231315679	1.45294802682872	0	102	GNG11|ITGB2|TNFAIP3|TRIB1|IRF8|PTGS2|GALNT3|BIRC3|IL10RA|ID2|PTBP2|INHBA|SCN1B|HBEGF|CXCR4|IKZF1|F13A1|DUSP6|PPBP|PLAUR|KLF4|FCER1G|CCND2
HALLMARK_HYPOXIA	0.0126582278481013	0.0730136005726557	0.469165555514145	1.69707463556625	0	105	PDK1|PLIN2|SLC2A3|CDKN1A|TNFAIP3|KLF6|ZNF292|BHLHE40|GAPDH|TIPARP|DDIT4|MAFF|FOSL2|DDIT3|ATF3|ADM|CXCR4|ANXA2|ISG20|VLDLR|PLAUR
HALLMARK_INFLAMMATORY_RESPONSE	0.0126582278481013	0.0730136005726557	0.555558012253602	2.00230122970972	0	104	PTPRE|IFITM1|NFKBIA|HIF1A|CDKN1A|RGS1|LDLR|LY6E|CCL5|STAB1|CD69|KLF6|IL10RA|IRF1|MXD1|TIMP1|INHBA|SCN1B|CD48|RIPK2|EIF2AK2|ADM|HBEGF|TLR2|PROK2|ICOSLG|ICAM1|CD82|CSF3R|PLAUR|LCK|SPHK1|IL15RA|SLC4A4|SLC31A2
HALLMARK_ALLOGRAFT_REJECTION	0.0126582278481013	0.0730136005726557	0.433394944091731	1.56201010581181	0	104	HIF1A|ITGB2|CD3D|IRF8|CCL5|STAB1|STAT1|EIF5A|CD47|HLA-A|TIMP1|INHBA|CD96|BCL3|PRKCB|RIPK2|TRAT1|TLR2|ITGAL|LY86|NCF4|HLA-G|ICOSLG|CDKN2A|ICAM1|IFNGR1|LTB|LCK|CCND2
HALLMARK_IL2_STAT5_SIGNALING	0.0136986301369863	0.0730136005726557	0.44555567531998	1.65559692493713	0	115	MAP3K8|PLIN2|SLC2A3|IRF8|IFITM3|HOPX|CD83|KLF6|LRRC8C|BHLHE40|CD44|IL10RA|MAFF|MAPKAPK2|MXD1|CD48|ITGAV|COL6A1|RHOB|IFNGR1|SNX9|LTB|CCND2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.015748031496063	0.0730136005726557	0.456650589311738	1.53078402470531	1	60	PDK1|CALR|CDKN1A|ARF1|UBE2D3|DDIT3|PRKCB|CXCR4|LCK|MKNK1
HALLMARK_KRAS_SIGNALING_DN	0.015748031496063	0.0730136005726557	0.456380187927586	1.54037827151826	1	62	IFI44L|SGK1|MX1|IGFBP2|NR6A1|NR4A2|GPRC5C|VPREB1|KMT2D|SKIL|KCNN1
HALLMARK_MTORC1_SIGNALING	0.02	0.0784615384615385	0.411951819118639	1.56996879013225	0	139	PDK1|CALR|SLC2A3|CDKN1A|ARPC5L|ITGB2|LDLR|IDI1|CORO1A|TFRC|BHLHE40|GAPDH|DDIT4|RAB1A|ME1|PSMD12|DDX39A|M6PR|UBE2D3|DDIT3|MTHFD2L|CXCR4
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0208333333333333	0.0784615384615385	0.617537736608855	2.35425657106564	0	138	NFKBIA|PELI1|HIF1A|CDKN1A|IFI44L|IFIT3|IFITM2|TNFAIP3|IRF9|IFI44|IRF8|LY6E|CCL5|CD69|IFITM3|PTGS2|MX1|APOL6|STAT1|TNFAIP2|OAS3|IL10RA|ISG15|HLA-A|IRF1|HLA-B|LATS2|NLRC5|RIPK2|EIF2AK2|IFIT1|LGALS3BP|CASP8|HLA-G|ISG20|ADAR|IFIT2|OASL|ICAM1
