pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_MTORC1_SIGNALING	0.00101112234580384	0.0175438596491228	0.570284181969614	1.5507342029345	0	137	CORO1A|ITGB2|PDK1|SLC9A3R1|PHGDH|GAPDH|ENO1|TFRC|CXCR4|ARPC5L|PFKL|SQLE|DAPP1|MCM2|ADD3|ACTR3|ME1|PSMA4|TXNRD1|ACTR2|LDHA|DHFR|PSMA3|RAB1A|IDI1|PGK1|IDH1|DDX39A|XBP1|GMPS|PSMD13|TES|MCM4|TPI1|EDEM1|GGA2|SSR1|UBE2D3|PSMG1|CD9|LDLR|MLLT11|CCNG1|BTG2|MAP2K3|M6PR|RPN1|TCEA1|DDIT3|DHCR24|MTHFD2L|GSR|PSMD12|PSME3
HALLMARK_ALLOGRAFT_REJECTION	0.00101729399796541	0.0175438596491228	0.558807244776122	1.49896095634545	0	109	ITGB2|IL2RG|CD47|IRF8|LTB|PRKCB|STAT1|CAPG|ITGAL|STAB1|IL16|PTPN6|CCND2|CCL5|GBP2|CD96|UBE2N|ICAM1|NCF4|ZAP70|LYN|MAP4K1|RPS19|LY86|TAP1|ELF4|TLR2|IL27RA|IFNGR1|CD3D|MAP3K7|TAPBP|EIF3J|SPI1|ABI1|IFNGR2|FLNA|IRF7|HLA-A|AKT1|CSK|BRCA1|HCLS1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00103199174406605	0.0175438596491228	0.663903456869506	1.73510563994732	0	73	IFITM1|CD47|LPAR6|ISG20|IFITM2|IFIT3|PARP9|IFI44|NCOA7|LGALS3BP|LAP3|IFIT2|OAS1|TRIM25|CASP8|MX1|LY6E|PLSCR1|GBP2|PSMA3|ADAR|PARP14|SP110|CNP|NMI|TAP1|RSAD2|IRF1|IRF9|IFIH1|EIF2AK2|IRF7|TRAFD1|HERC6|PSMB8
HALLMARK_G2M_CHECKPOINT	0.00201816347124117	0.0257315842583249	0.524554476329074	1.42891205568548	1	141	SLC38A1|STMN1|MCM5|MARCKS|DR1|SQLE|MTF2|SRSF10|TLE3|MCM2|HMGA1|KIF5B|POLE|CHAF1A|HMGN2|NASP|TACC3|BARD1|AMD1|FOXN3|EWSR1|LBR|CKS1B|DDX39A|MCM3|SMC4|ARID4A|POLQ|CUL5|PRPF4B|CHEK1|XPO1|SFPQ|SLC12A2|RAD23B|MYC|NUP50|DKC1|HNRNPD|CUL4A|TFDP1|SAP30|NUSAP1|TMPO|SMARCC1|NCL|KPNA2|MAPK14|ILF3|SMC1A|SNRPD1|ORC6|UPF1
HALLMARK_KRAS_SIGNALING_UP	0.00308324768756423	0.0263157894736842	0.577801772662047	1.5166954419937	2	80	ITGB2|GNG11|IL2RG|IRF8|GYPC|LAT2|IKZF1|LCP1|DUSP6|SATB1|CXCR4|NIN|LAPTM5|JUP|GALNT3|CCND2|TRIB1|MYCN|MAP4K1|IL10RA|SDCCAG8|MTMR10|ADAM8
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.00309597523219814	0.0263157894736842	0.594438533642303	1.55355969554396	2	73	PDK1|IL2RG|ARPC3|PRKCB|PFN1|CFL1|TNFRSF1A|PPP1CA|CXCR4|DAPP1|ACTR3|ARF1|ACTR2|MKNK1|UBE2N|GRB2|PTEN|PLCB1|EIF4E|MAP3K7|UBE2D3|CLTC|AKT1|PIKFYVE|SMAD2|MAP2K3|ITPR2|LCK|DDIT3|RAF1|IRAK4|ADCY2|RPS6KA1|GSK3B|AP2M1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00504540867810293	0.0325255102040816	0.51675040951766	1.40688195344249	4	138	IRF8|CD69|STAT1|ISG20|IFITM2|IFIT3|APOL6|VAMP8|IFI44|LGALS3BP|RNF213|LAP3|IFIT2|OAS3|TRIM25|PTPN6|CASP8|MX1|NLRC5|LY6E|TNFAIP2|XAF1|CCL5|TNFSF10|PLSCR1|PSMA3|ICAM1|ADAR|PARP14|SP110|NMI|IL10RA|IFIT1|TAP1|RSAD2|BTG1|TAPBP|IL15RA|IRF1|IRF9|ST3GAL5|IFIH1|OAS2|CASP3|EIF2AK2|IRF7|TRAFD1|HERC6|HLA-A|PSMB8
HALLMARK_INFLAMMATORY_RESPONSE	0.00510204081632653	0.0325255102040816	0.546631084248317	1.45410777408799	4	91	PTPRE|IFITM1|CD69|KLF6|CD82|CSF3R|STAB1|PROK2|CALCRL|CD48|LY6E|RHOG|CCL5|TNFSF10|ITGA5|ICAM1|LYN|NMI|IL10RA|MXD1|PTGER2|TLR2|RGS1|TAPBP|IL15RA|IRF1|ABI1|EIF2AK2|IFNGR2|IRF7|PTGER4|SCN1B|LDLR|MYC|SPHK1
HALLMARK_APICAL_JUNCTION	0.00616016427104723	0.0345372460496614	0.559367237876295	1.4711403448572	5	83	CD99|ARPC2|PFN1|SYK|CAP1|JUP|ACTG1|EVL|NRXN2|GNAI2|CD34|ACTN1|MYL12B|ICAM1|VASP|ITGB1|PTEN|NEGR1|GNAI1|TIAL1|ACTB|YWHAH
GENTLES_LEUKEMIC_STEM_CELL_UP	0.00677200902934537	0.0345372460496614	0.758942919498756	1.68413808267925	5	16	SLC38A1|HOPX|LTB|GIMAP7|CD34|ICAM1|EFCC1|GIMAP6
