pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_HEME_METABOLISM	0.00175746924428822	0.0182795698924731	0.726026050250878	2.26633264959011	0	137	RHCE|SELENBP1|GYPB|RHAG|KEL|ANK1|CA1|CA2|HBD|MYL4|MBOAT2|SPTA1|RHD|SLC25A37|ALAS2|SLC2A1|HMBS|HBB|GATA1|HBQ1|XK|GYPA|TFRC|GYPE|BLVRB|EPOR|AHSP|ADD2|ARHGEF12|TAL1|BACH1|BMP2K|TOP1|EPB42|UBAC1|SPTB|RIOK3|FBXO7|TMCC2|GLRX5|RCL1|ERMAP|GCLC|ALAD|SMOX|PICALM|RBM38|DMTN|SLC7A11|ELL2|RAP1GAP|TRAK2|OSBP2|KLF3|AQP3|UROS|EPB41|SLC30A1|
SYNJ1|FECH|SDCBP|ABCB6|NUDT4|DAAM1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00176056338028169	0.0182795698924731	0.510180352885467	1.59899027340214	0	145	CSF1|PER1|KYNU|MARCKS|NR4A2|BTG3|FOSL1|PDLIM5|SLC2A3|VEGFA|CD83|TNFAIP6|MXD1|MAFF|TUBB2A|RIPK2|TIPARP|RHOB|CCND1|CCNL1|SOD2|SIK1|LDLR|CCL5|CXCL3|TRIB1|RELB|CEBPD|AREG|G0S2|KLF9|NFIL3|TNFSF9|IL6ST|CXCL2|SDC4|MAP3K8
HALLMARK_E2F_TARGETS	0.0017636684303351	0.0182795698924731	0.546069277098713	1.70672979648827	0	140	TP53|CDKN2A|TFRC|DDX39A|ILF3|LYAR|CDKN3|CDC20|POLE4|CCNB2|CENPM|PRKDC|KPNA2|NUP153|TK1|SMC6|CTPS1|CDKN2C|BIRC5|PPP1R8|CKS1B|MTHFD2|MKI67|RANBP1|SYNCRIP|CENPE|CCNE1|ORC6|DNMT1|ATAD2|EXOSC8|TUBG1|PNN|MCM4|NOLC1|PCNA|EIF2S1|NUDT21|RAD21|SLBP|NME1|DLGAP5
HALLMARK_G2M_CHECKPOINT	0.00178571428571429	0.0182795698924731	0.557604562072806	1.72560962458852	0	131	MEIS2|MARCKS|DDX39A|ILF3|CENPF|WRN|YTHDC1|SFPQ|CDKN3|ODC1|CDC20|RAD23B|TOP1|CCND1|CCNB2|KIF20B|KPNA2|CDKN2C|BIRC5|CKS1B|HIF1A|NUSAP1|MKI67|SYNCRIP|CENPE|ATF5|CUL4A|DBF4|ORC6|SNRPD1|DKC1|PRPF4B|SLC7A5|SMC2|DTYMK|CHAF1A|CUL3|NOLC1|TROAP|TTK|SRSF10|CDC45|STIL|CUL5|E2F3|ABL1|CDC27|RAD21
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00185873605947955	0.0182795698924731	0.503316709057806	1.51602039735782	0	108	DLC1|DHRS3|SLC2A1|TGM2|FHL2|RRP12|BLVRB|FARP1|UGCG|TIPARP|CCND1|KCNK5|ABHD2|RAB31|FASN|GJA1|SLC16A1|AREG|PPIF|TMEM164|IL6ST|PMAIP1|SIAH2|SEC14L2|JAK2|AQP3|TUBB2B|KDM4B|PAPSS2|MUC1|SLC7A5
GENTLES_LEUKEMIC_STEM_CELL_UP	0.0021505376344086	0.0182795698924731	-0.834479724984331	-1.88116081520252	0	21	RBPMS|GIMAP7|HOPX|CD34|GIMAP6|HLF|GIMAP2|EVI2A|MMRN1|GSAP|SETBP1
HALLMARK_COMPLEMENT	0.0037243947858473	0.0271348762968875	0.493858957982482	1.51098873810645	1	123	CD36|TIMP1|CA2|APOC1|KYNU|CTSH|CD55|FCER1G|USP16|ITGAM|MAFF|CPQ|CALM3|CR1|CD40LG|USP14|CCL5|GNG2|CTSL|SH2B3|CR2|CTSV|JAK2
HALLMARK_APICAL_JUNCTION	0.00649350649350649	0.0413961038961039	-0.495449797465293	-1.52467241840504	2	107	MDK|CD34|SORBS3|MMP2|CD99|GNAI2|TRO|ZYX|CLDN15|ARHGEF6|NEGR1|ACTG1|MSN|SKAP2|AKT3|MPZL2|SYK|PTEN|PTPRC|RAC2
HALLMARK_ANGIOGENESIS	0.0094876660341556	0.0537634408602151	0.726771829711809	1.60267414012815	4	19	TIMP1|VEGFA|ITGAV|S100A4|NRP1|PTK2|CCND2
