Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
RSPO1	0.0752217139951454	14.6858633818578	0.00512204914612448	-7.60906318898366	131	1650	2056	2056	0.063715953307393	0.802529182879377	0	0	0	0
MTRNR2L12	8.74744013562092	45.3705043969251	0.192800151814353	-2.37482190731468	1067	1893	2056	2056	0.518968871595331	0.920719844357977	2.55901539424156e-195	0	0	0
MTRNR2L8	7.75645829467637	34.8384992472386	0.22264042545665	-2.16721252417198	997	1880	2056	2056	0.484922178988327	0.914396887159533	1.00881089550487e-213	1.08477979654869e-286	0	0
FTH1	19.1198113667087	6.22762770596824	3.07015966101912	1.6183136836642	1707	978	2056	2056	0.830252918287938	0.47568093385214	3.54226804465176e-130	8.43940998233601e-200	0	0
H3F3C	20.1485243786574	99.4803537195504	0.202537723533423	-2.30373745362607	1575	1957	2056	2056	0.766050583657588	0.951848249027237	3.80497653959048e-70	0	0	0
SLC38A1	18.1064838033299	3.21353373276572	5.63444647202958	2.49427388701107	1113	243	2056	2056	0.541342412451362	0.118190661478599	8.72712622069645e-194	6.50525598158995e-183	0	0
CORO1A	21.3050094995963	6.66480520747751	3.19664398828841	1.6765580794545	1270	401	2056	2056	0.617704280155642	0.195038910505837	1.20146716567171e-173	1.74210432363854e-156	0	0
TP53	1892.99041889704	1.65202884041627	1145.85797329062	10.1622125207924	1980	207	2056	2056	0.963035019455253	0.10068093385214	0	0	0	0
RP11-264B14.1	0.156449107767638	2.81641706028152	0.0555489845498948	-4.1700956507656	260	1086	2056	2056	0.126459143968872	0.528210116731518	1.66981862294403e-174	8.62464657372512e-198	0	0
LGALS1	81.4663164435523	21.6384955144265	3.76487895793116	1.91260348253344	1266	414	2056	2056	0.615758754863813	0.20136186770428	2.1464100006769e-166	5.4457008067411e-151	8.51476521352419e-314	9.18317428278584e-311
