Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
C1orf228	97.4135634060987	37.3108175788849	2.61086649200706	1.38452868658837	3811	2878	4546	4546	0.838319401671799	0.63308402991641	4.73039081541191e-111	2.61560780899252e-223	0	0
MGAT4A	26.9180158874873	3.17027762448375	8.49074405332896	3.08589098428633	1930	719	4546	4546	0.424549054113506	0.158161020677519	1.71059533875112e-176	9.714722294428e-205	0	0
PDK1	8.01237829975546	0.904322238462456	8.86009207666755	3.14732169176691	1401	383	4546	4546	0.308183018037835	0.0842498900131984	7.03509238770376e-167	1.1853875385101e-167	0	0
SLC40A1	2.67469649970527	15.0456963401609	0.177771532751582	-2.49190377660415	937	2212	4546	4546	0.20611526616806	0.486581610206775	3.08857071188411e-177	8.98633746552927e-221	0	0
GATA2	9.83436034864179	30.7341169997612	0.319981873847822	-1.64393791243261	1749	2938	4546	4546	0.384733831940167	0.646282446106467	9.04916371763365e-139	2.24576551598543e-194	0	0
C3orf80	0.150806941009588	1.35868782148031	0.110994548287982	-3.17143927733042	101	974	4546	4546	0.0222173339199296	0.214254289485262	1.47408003190268e-200	2.30771934865951e-177	0	0
EREG	5.16354606584282	15.2882113725609	0.337746904461977	-1.56598554795023	763	2016	4546	4546	0.167839859216894	0.443466783985922	1.4653268089184e-183	3.31175362193529e-193	0	0
CRHBP	9.92901059141734	29.9660035088253	0.331342502462604	-1.59360482005548	1330	2685	4546	4546	0.292564892212934	0.590629124505059	8.95760262703205e-183	4.55351065657796e-215	0	0
ARRDC3	7.64137479034013	19.190114013607	0.398193298118079	-1.32845915522819	1369	2685	4546	4546	0.301143862736472	0.590629124505059	5.42853220060217e-172	2.37785154607705e-193	0	0
RPS14	192.14838688768	373.860407556394	0.51395757080454	-0.960278830636438	4448	4509	4546	4546	0.978442586889573	0.991860976682798	1.21999683883481e-07	0	0	0
MAT2B	4.37103407339709	12.3220858441733	0.354731668702341	-1.49519996213232	885	2242	4546	4546	0.194676638803344	0.493180818301804	7.5156994024783e-202	4.03181531616267e-201	0	0
NPM1	35.8000896047444	88.0317818002457	0.40667232756891	-1.29806127039508	3282	4164	4546	4546	0.721953365596128	0.915970083589969	7.6587058143813e-133	0	0	0
ATP6V0E1	16.9022583017538	44.0658062050062	0.383568570676317	-1.38244358304813	1634	3007	4546	4546	0.359436867575891	0.661460624725033	4.90723640774512e-185	8.26720501644511e-227	0	0
AIF1	100.96564357044	32.3481489007038	3.12121858596502	1.6421093959771	4002	3292	4546	4546	0.880334359876815	0.724153101627805	1.78265213848901e-79	3.26220622373786e-270	0	0
RP1-249H1.4	7.10723421276967	0.282979236837022	25.1157445055341	4.65052013631248	951	101	4546	4546	0.209194896612407	0.0222173339199296	1.69902555922193e-193	1.55693009366862e-173	0	0
GNG11	20.0940697606536	2.95382854106197	6.80272042920584	2.76611180001884	1973	512	4546	4546	0.434007919049714	0.112626484821821	8.1978625170515e-272	2.38379198399039e-275	0	0
