Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
AVP	4.58699003679099	29.0927149600391	0.15766799499777	-2.66503825748598	267	780	1107	1107	0.241192411924119	0.704607046070461	2.04815293873101e-109	2.40455671075689e-127	2.6733133672448e-233	2.15602723068293e-229
LSP1	8.34927777299009	2.14350688485656	3.89514856797337	1.96167835632051	731	230	1107	1107	0.660343270099368	0.20776874435411	4.48263348396549e-106	7.48993214918135e-102	1.59957526787762e-204	6.45028726771652e-201
CLU	0.886263156720113	16.7124224010844	0.0530302032494467	-4.23704191185223	116	563	1107	1107	0.104787714543812	0.508581752484191	6.4280495811325e-100	5.78426898676551e-106	1.75391670762963e-202	4.71511274901098e-199
C1orf228	97.9741131620156	18.8259742979447	5.20419881656335	2.37967607854129	921	517	1107	1107	0.831978319783198	0.467028003613369	1.10121101626131e-74	1.02912669810009e-126	5.22888819755246e-198	1.05427458283151e-194
CD99	7.09911209001236	1.64758831165335	4.30879002952406	2.10728279658125	771	290	1107	1107	0.696476964769648	0.26196928635953	8.68463905143937e-96	4.97578538315719e-104	1.97807430052497e-196	3.19063384674678e-193
MIR181A1HG	28.1891115168161	4.11412677532244	6.85178485162428	2.77647985101796	656	197	1107	1107	0.592592592592593	0.177958446251129	1.42230624527086e-92	6.18922191133664e-101	3.9016856600653e-190	5.2445158080711e-187
TNFSF13B	27.726710935395	1.58219266504476	17.5242317500003	4.13127929377325	531	111	1107	1107	0.479674796747967	0.100271002710027	3.31919791785363e-91	2.69662792432699e-93	3.78150233692048e-181	4.35683090675195e-178
HCST	22.9585929292889	4.056328768958	5.65994381544831	2.50078773193058	647	193	1107	1107	0.58446251129178	0.174345076784101	3.81524429888584e-91	2.78152826975551e-93	4.48168110633099e-181	4.51809476531993e-178
SLC38A1	18.7570973631554	2.21939452011093	8.45144799322018	3.07919854064591	592	158	1107	1107	0.534778681120144	0.142728093947606	3.89185281427987e-88	2.34800808338928e-92	3.77634676862174e-177	3.38402629877048e-174
CORO1A	21.441091837497	4.33073830317455	4.95090913754361	2.30769347222107	681	251	1107	1107	0.615176151761518	0.226738934056007	2.0534982191913e-78	1.99195081232557e-87	1.55240553771031e-162	1.25201506616336e-159
PCDH9	0.829554600614459	30.7442006935413	0.0269824741545072	-5.21183354768637	46	395	1107	1107	0.041553748870822	0.356820234869015	2.9561117134426e-85	6.51990686553992e-80	7.2847901112289e-162	5.34107565882373e-159
SELM	0.699875514856684	24.6239868135744	0.0284225101384015	-5.13682221773068	49	372	1107	1107	0.044263775971093	0.336043360433604	3.16605970542371e-75	7.48889497517261e-72	7.97410436810449e-144	5.35926264406356e-141
ITM2A	83.4185286251289	23.8694368258917	3.49478411382723	1.8052033375662	934	601	1107	1107	0.843721770551039	0.542908762420958	1.54723346565725e-54	3.44568985241752e-90	1.76411561338108e-141	1.09443018630142e-138
FCER1A	8.28558590498504	54.3840573215996	0.15235321366312	-2.7145081630484	250	630	1107	1107	0.22583559168925	0.569105691056911	2.21979296706523e-62	1.39700136466951e-78	9.99253097720002e-138	5.75641159507987e-135
TMSB4X	1056.69974616616	396.707897036821	2.66367207222013	1.41341648146979	1103	1082	1107	1107	0.996386630532972	0.977416440831075	9.4074164536979e-05	1.96427742427085e-130	5.70869189319969e-132	3.0693733412437e-129
LIMCH1	0.339601243168521	17.4468766372525	0.0194648732967714	-5.68298323603299	17	278	1107	1107	0.015356820234869	0.251129177958446	1.12817087630013e-69	1.06798551390443e-60	3.5886708723213e-127	1.80891441157946e-124
