Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
SMIM1	13.6915135227951	5.20329320264374	2.63131693517456	1.39578502777662	1057	188	2056	2056	0.514105058365759	0.0914396887159533	3.56104061250863e-205	3.48235601640215e-178	0	0
RHCE	10.0301753567928	0.490547718089996	20.4468902553383	4.35380953686361	678	29	2056	2056	0.329766536964981	0.0141050583657588	8.75139930760134e-189	2.06822402502048e-156	0	0
RSPO1	0.0291366828719244	14.6858633818578	0.00198399522822189	-8.97737572881074	90	1650	2056	2056	0.0437743190661479	0.802529182879377	0	0	0	0
CSF1	11.1064526446014	0.497584158698399	22.3207520787119	4.48031373325287	838	48	2056	2056	0.407587548638132	0.0233463035019455	1.12271380408636e-229	2.11874552412947e-194	0	0
TRIB2	16.2212252402622	0.660246623375056	24.5684334701212	4.61873396655009	1003	45	2056	2056	0.48784046692607	0.0218871595330739	1.56482311540389e-302	9.76870558866224e-252	0	0
CNRIP1	37.9899286391574	3.66655511834862	10.3612048402173	3.37311986972066	1200	137	2056	2056	0.583657587548638	0.0666342412451362	4.89534382628611e-303	5.34382921915927e-268	0	0
MTRNR2L12	4.65803558520391	45.3705043969251	0.102666603493163	-3.28396113241687	1253	1893	2056	2056	0.60943579766537	0.920719844357977	1.30328398231258e-130	0	0	0
CD74	133.390120949388	1333.0967008047	0.100060348862066	-3.32105770745514	1911	2048	2056	2056	0.929474708171206	0.996108949416342	1.08664009647512e-34	0	0	0
RHAG	19.4677124785	0.951066107806275	20.4693578277162	4.35539393719487	1068	40	2056	2056	0.519455252918288	0.0194552529182879	0	1.18029577274693e-276	0	0
CD36	42.9803235730857	2.79038561499274	15.4030049976435	3.94513993102057	1158	101	2056	2056	0.563229571984436	0.049124513618677	4.72805851892873e-315	1.6673109267257e-277	0	0
TFR2	27.1006465136192	5.45611447549693	4.96702307756308	2.31238144977665	1268	269	2056	2056	0.616731517509728	0.130836575875486	2.36732620915901e-241	2.25345768304051e-219	0	0
KEL	8.88330339817692	0.383572577721456	23.1593808163936	4.5335247771843	804	33	2056	2056	0.391050583657588	0.0160505836575875	7.22821956056429e-233	7.27496885122199e-193	0	0
KCNH2	6.330822349817	0.530378496992705	11.9364234894766	3.57729872152892	752	47	2056	2056	0.365758754863813	0.0228599221789883	2.71175542324738e-197	8.77203943576365e-168	0	0
TIMP1	74.2226880659992	30.0710357234011	2.46824514954234	1.3034856920824	1495	561	2056	2056	0.727140077821012	0.272859922178988	4.62584919679063e-193	2.0692172099598e-159	0	0
AMMECR1	8.74898369039913	1.05368979775803	8.30318724639325	3.05366523307638	778	64	2056	2056	0.3784046692607	0.0311284046692607	6.9093838943309e-191	1.12960026854667e-163	0	0
DLC1	14.0163033021896	0.75634616668556	18.5315982542907	4.21191540658741	875	58	2056	2056	0.425583657587549	0.0282101167315175	3.27041906265453e-234	1.05986711348176e-200	0	0
ANK1	22.5861609628797	1.22668775679777	18.4123146560459	4.20259909761492	1119	79	2056	2056	0.544260700389105	0.0384241245136187	3.06521291073784e-318	2.79256700915072e-274	0	0
CA1	123.594028745685	0.492090247641716	251.16130493948	7.9724704029213	1095	20	2056	2056	0.532587548638132	0.00972762645914397	0	1.46717529658517e-303	0	0
CA2	22.4786898646476	0.352985694149793	63.6815889062874	5.99280442760661	808	43	2056	2056	0.392996108949416	0.0209143968871595	4.0143037483369e-223	2.63307301282329e-190	0	0
MTSS1	14.6911744722254	0.783204055061697	18.7577865273797	4.22941769063094	989	67	2056	2056	0.481031128404669	0.0325875486381323	1.7948360902571e-272	3.55824916309897e-233	0	0
CPSF1	10.6430381418313	1.80965351181336	5.88125741881188	2.55612463770538	974	184	2056	2056	0.473735408560311	0.0894941634241245	1.26859939771171e-176	9.4995797330783e-163	0	0
PLIN2	194.83674711783	10.5135138297067	18.5320293741665	4.2119489691147	1486	363	2056	2056	0.722762645914397	0.176556420233463	2.81043921303085e-287	5.61659133834132e-297	0	0
FAM171A1	6.11011831158607	0.263956278195602	23.148221187822	4.53282942953453	684	18	2056	2056	0.332684824902724	0.00875486381322957	8.69490442781769e-205	2.08982678175792e-166	0	0
PDLIM1	43.0577375961304	15.0508363561501	2.86082026122993	1.51642885929062	1418	535	2056	2056	0.689688715953307	0.260214007782101	1.50920064435884e-172	9.889116794971e-158	0	0
