Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
SMIM1	14.2867890195722	3.64874044364357	3.91553996241664	1.96921127236567	1626	516	3130	3130	0.519488817891374	0.164856230031949	6.59448789338829e-199	5.69388252433379e-194	0	0
RHCE	10.5297619283267	1.15830998964416	9.0906251542918	3.18437951069927	1026	189	3130	3130	0.32779552715655	0.0603833865814696	8.72564332852965e-170	1.17887769632425e-163	0	0
CD52	24.5391761934685	73.288658610007	0.334829108062266	-1.57850314217333	1619	2522	3130	3130	0.517252396166134	0.805750798722045	2.60530752601616e-131	5.9972049177354e-221	0	0
CSF3R	11.4641141335848	46.9477022194634	0.244189035706033	-2.03392967133375	1017	2211	3130	3130	0.324920127795527	0.706389776357828	4.29555932114628e-205	7.94380359036338e-299	0	0
CSF1	11.0300882342008	1.14487078278586	9.63435210335342	3.26818765056796	1265	296	3130	3130	0.404153354632588	0.0945686900958466	3.15999830640361e-186	5.55748664069854e-183	0	0
TSPAN2	1.01617987815261	11.4129215250769	0.0890376645383755	-3.48944043854917	151	1110	3130	3130	0.0482428115015974	0.354632587859425	6.45291987802116e-221	1.41968532376125e-204	0	0
SELENBP1	10.1512102702624	0.895783088897289	11.3322191455507	3.50235850121674	973	126	3130	3130	0.310862619808307	0.0402555910543131	6.17075665046471e-193	4.36174175500034e-176	0	0
PBXIP1	5.25117224570835	36.7461663036254	0.142903948192012	-2.80688231870311	926	1936	3130	3130	0.295846645367412	0.6185303514377	3.24975596969879e-147	5.90708590649498e-211	0	0
RCSD1	3.77430473749498	18.1874647562102	0.207522312102693	-2.26866163635846	626	1669	3130	3130	0.2	0.533226837060703	5.10256302406629e-169	9.78182850654593e-193	0	0
SELL	4.44678456933772	111.555053025966	0.0398617942326885	-4.64884954050231	748	2583	3130	3130	0.238977635782748	0.825239616613418	0	0	0	0
TRIB2	16.1838004836325	4.31363364705182	3.75177908181736	1.90757487930586	1520	459	3130	3130	0.485623003194888	0.146645367412141	7.33295355886107e-190	2.32730404859494e-181	0	0
ZFP36L2	42.4815999805701	203.889107297249	0.208356397964097	-2.26287469357809	2169	3012	3130	3130	0.69297124600639	0.962300319488818	9.99197056789218e-195	0	0	0
CNRIP1	37.8144331614312	11.017427851307	3.4322378754625	1.77914954405468	1833	670	3130	3130	0.585623003194888	0.21405750798722	2.13642660424007e-203	3.09800441628683e-200	0	0
VAMP5	9.86455734864525	35.8672152362009	0.275029920323698	-1.86233951786992	999	2007	3130	3130	0.319169329073482	0.641214057507987	1.03066219920467e-145	1.80619333930464e-196	0	0
ITM2C	8.15170746000783	38.7194266843429	0.21053275211082	-2.24788340728558	1222	2394	3130	3130	0.390415335463259	0.764856230031949	8.97943547848022e-203	0	0	0
PROM1	1.48182931092274	17.1345587577892	0.0864819066466542	-3.53145785958664	252	1619	3130	3130	0.0805111821086262	0.517252396166134	0	0	0	0
HOPX	6.38049096298779	29.6962922695852	0.214858168321661	-2.21854346940155	547	1731	3130	3130	0.174760383386581	0.553035143769968	5.85310627687653e-220	1.23390619748708e-245	0	0
SPINK2	26.1470273679557	106.973471266504	0.24442534264234	-2.03253421967771	1201	2497	3130	3130	0.38370607028754	0.79776357827476	7.48029160033924e-252	0	0	0
RP11-98O2.1	10.2509359824568	0.13390724358005	76.5525128319796	6.25837782977422	828	68	3130	3130	0.264536741214058	0.0217252396166134	2.58074770543856e-190	2.53543101082062e-168	0	0
GYPB	6.38420376217321	0.17967974704142	35.5310148600193	5.15100699134167	895	70	3130	3130	0.28594249201278	0.0223642172523962	3.73629024065102e-211	1.54391684306311e-185	0	0
GUCY1A3	4.93823092687202	29.6986740027009	0.166277825280109	-2.58833231045641	678	1793	3130	3130	0.216613418530351	0.572843450479233	1.47950377666115e-187	2.12736480125443e-229	0	0
CRHBP	1.50102319582331	30.3112288139326	0.049520367684116	-4.33583416330652	358	1835	3130	3130	0.114376996805112	0.586261980830671	0	0	0	0
SSBP2	6.92854390417262	35.3255381986214	0.196134135741009	-2.35008744676965	1098	2170	3130	3130	0.350798722044728	0.693290734824281	5.03164213714576e-165	3.07627624122436e-240	0	0
ARRDC3	4.09294033909629	18.975478572061	0.215696290533754	-2.21292672911952	818	1853	3130	3130	0.261341853035144	0.592012779552716	4.29131980148968e-157	8.03709737626006e-197	0	0
CD74	131.406160760413	918.57005020728	0.143055133063352	-2.80535682992685	2906	3106	3130	3130	0.928434504792332	0.992332268370607	2.6900249507999e-43	0	0	0
ANXA6	0.60185977314334	4.99410249899085	0.120514101035162	-3.05272613263723	195	1069	3130	3130	0.0623003194888179	0.341533546325879	1.28221732966904e-179	4.00430136859314e-175	0	0
RHAG	20.6919233745214	0.874075398337282	23.6729273171202	4.5651662109627	1628	198	3130	3130	0.520127795527157	0.063258785942492	0	0	0	0
CD36	43.1988216664233	2.07813134462689	20.7873394422908	4.37763321532328	1767	353	3130	3130	0.564536741214058	0.112779552715655	0	0	0	0
TFR2	26.7214183414513	8.74427170709268	3.05587694853729	1.61158645132222	1915	734	3130	3130	0.611821086261981	0.234504792332268	7.61542259857597e-206	3.7002605688529e-196	0	0
AASS	0.373574168763389	3.76441305312802	0.0992383576114128	-3.33295833085915	96	909	3130	3130	0.0306709265175719	0.290415335463259	3.95263426577375e-194	2.97991781419982e-172	0	0
KEL	9.57354286615527	1.04674479921213	9.14601426571318	3.19314316942452	1239	205	3130	3130	0.395846645367412	0.0654952076677316	6.51536469475511e-229	1.54984592840366e-209	0	0
GIMAP7	1.25976610053556	23.0440464944275	0.0546677468664279	-4.19316627375097	189	1163	3130	3130	0.0603833865814696	0.371565495207668	1.66863705699241e-213	6.69426183930681e-207	0	0
TIMP1	75.8782480991456	20.1482056672127	3.76600523899866	1.91303500692828	2289	1253	3130	3130	0.731309904153355	0.400319488817891	1.14216736196156e-156	2.07808674284385e-196	0	0
MAGED4B	0.230588753987379	6.15443262177658	0.0374671018692241	-4.73823180219581	48	731	3130	3130	0.0153354632587859	0.233546325878594	2.4093384874413e-176	7.69064788792277e-152	0	0
FHL1	4.60266726414202	54.5960058056511	0.0843041024013079	-3.56825335255734	760	2075	3130	3130	0.242811501597444	0.662939297124601	4.06256869371183e-252	0	0	0
