Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
AVP	0.959896611688027	29.0927149600391	0.0329943978417454	-4.92163510142597	109	780	1107	1107	0.0984643179765131	0.704607046070461	6.82280467048106e-203	1.31117447432889e-200	0	0
CRHBP	0.98510810731054	48.7493017821233	0.0202076352131834	-5.62895568873146	118	649	1107	1107	0.106594399277326	0.586269196025294	7.32691083505286e-133	2.63314004610673e-141	1.2134168138642e-270	6.52757575018244e-267
CD74	129.494213410173	1040.71934246156	0.12442760322287	-3.00662152408752	1018	1100	1107	1107	0.919602529358627	0.993676603432701	6.77360265406413e-20	4.31961820553071e-221	1.6167175533541e-237	5.79808805217892e-234
RHAG	20.1637361052071	0.848492683178972	23.7641838343985	4.57071694894564	595	127	1107	1107	0.537488708220416	0.114724480578139	1.34623455850439e-105	7.77529386672563e-113	5.24012509486249e-215	1.40946264739064e-211
ITGA2B	47.3590276122053	3.5971937195397	13.1655482869756	3.71869569940308	797	343	1107	1107	0.71996386630533	0.309846431797651	4.0803528667519e-85	1.10748330370673e-129	2.22441680331243e-211	4.7865000773677e-208
ANK1	23.3554614702535	0.953114715013777	24.5043551446123	4.61496627624384	604	143	1107	1107	0.545618789521229	0.129177958446251	3.83531770283555e-100	5.2741462858417e-111	9.78709574088816e-208	1.7549893846036e-204
TFR2	27.1469907817652	2.61008538994369	10.4008056159231	3.37862337451175	697	237	1107	1107	0.62962962962963	0.214092140921409	7.638419732882e-90	3.30048726165269e-110	1.1553717158293e-196	1.77580632722964e-193
CD36	43.5667388219549	1.65555271376365	26.31552499643	4.71784227186476	643	195	1107	1107	0.580849141824752	0.176151761517615	8.61471615900698e-89	5.2260390527249e-110	2.05028209461964e-195	2.75737313200158e-192
SELL	3.66016626451215	47.257633293124	0.0774513239334121	-3.69056628948366	242	671	1107	1107	0.218608852755194	0.606142728093948	1.4415476378841e-78	2.42688625661786e-104	1.46522367097212e-179	1.75159349733211e-176
CNRIP1	38.9978779954533	2.02358222958023	19.2717041222204	4.26841224410139	659	235	1107	1107	0.595302619692864	0.212285456187895	2.68756497263311e-77	1.09333484443671e-102	1.21087363748556e-176	1.30277894657071e-173
CSF2RB	18.6956711857344	3.13147052289986	5.97025296869838	2.57779206196825	608	188	1107	1107	0.549232158988257	0.169828364950316	8.87824442028987e-80	8.08406791015827e-93	2.83553618759827e-169	2.77341216748816e-166
TRIB2	15.8113052421912	1.0055573798992	15.7239214372592	3.97488915552239	530	127	1107	1107	0.47877145438121	0.114724480578139	2.86868712845594e-82	4.80700255491166e-88	5.37547298178547e-167	4.81955948425249e-164
MTSS1	15.8566644677049	0.886240582812337	17.8920541162608	4.16124712192082	536	130	1107	1107	0.484191508581752	0.11743450767841	9.09315981273588e-83	1.0976137270359e-86	3.87090683468399e-166	3.20362204879731e-163
PPP1R14A	4.39554739623994	0.353872030480682	12.4212907990192	3.63474319860523	481	94	1107	1107	0.434507678410117	0.0849141824751581	1.53769056681865e-83	2.06220483353089e-84	1.218874191618e-164	9.36704816258436e-162
MYL4	24.8901872778016	1.34192795512339	18.5480801579344	4.21319796151967	562	157	1107	1107	0.507678410117435	0.141824751580849	2.23435850037240e-78	1.52261539129089e-86	1.28393924810118e-161	9.20926824688043e-159
PLIN2	185.297772501263	13.5492254187696	13.6758941396437	3.77356325541227	806	446	1107	1107	0.728093947606143	0.402890695573622	1.71919649419376e-54	1.07094862079146e-108	6.87508729033219e-160	4.62306650979275e-157
MIR4435-1HG	28.8651949402954	7.97206987011104	3.62079051119673	1.85630470893216	823	438	1107	1107	0.743450767841012	0.395663956639566	2.04460408161419e-62	1.12461468016444e-99	8.52806593022799e-159	5.39726243196018e-156
GATA1	10.5079330905329	1.16572339491213	9.01408784999545	3.17218151041883	567	167	1107	1107	0.51219512195122	0.150858175248419	1.77888376495289e-75	6.67934171820835e-86	4.38723988617658e-158	2.62235077418743e-155
DLC1	14.0238309925635	0.620005083281693	22.6188967973218	4.49945666064985	476	101	1107	1107	0.429990966576332	0.0912375790424571	6.11466371334986e-78	2.57286520227757e-79	5.65966328049399e-154	3.20485880183341e-151
AJ006998.2	1.33632472610054	32.702566001564	0.0408629930151852	-4.61306131144943	113	478	1107	1107	0.102077687443541	0.431797651309846	2.67183559581958e-72	1.35559144896061e-80	1.26660602509481e-149	6.81370711199756e-147
LINC00152	42.3940914900011	10.8218364211279	3.91745816885879	1.96991786948989	859	527	1107	1107	0.775971093044264	0.476061427280939	7.13742527950801e-49	2.91292923975041e-103	7.23433912505437e-149	3.70639307840286e-146
MIR181A1HG	17.2370940502597	4.11412677532244	4.18973332412897	2.06685841953311	589	197	1107	1107	0.532068654019874	0.177958446251129	8.6282705028658e-70	3.52632049600108e-73	9.94488643974959e-140	4.86350150933027e-137
KEL	9.12933685895368	0.627104024233421	14.5579305923184	3.86373338611176	454	101	1107	1107	0.410117434507678	0.0912375790424571	8.292949231691e-71	1.82128747307059e-69	4.84300189533773e-137	2.26547206051907e-134
MBOAT2	17.5158416912781	3.03049756553625	5.77985671081661	2.53103372712791	593	213	1107	1107	0.535682023486902	0.192411924119241	9.54658077364828e-65	8.45822578564124e-75	2.57559615464191e-136	1.15461829282468e-133
