pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_ALLOGRAFT_REJECTION	0.00167224080267559	0.0278250993753549	0.570461993967234	2.42265919054539	0	28	HLA-DQA1|CD47|PTPRC|IRF7|LTB|TAPBP|HCLS1|PSMB10|HLA-DMA|HDAC9|PRKCB|IL12RB1|HLA-DMB|ITGB2|HLA-DOA|ITGAL
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.00170357751277683	0.0278250993753549	0.658234926733978	2.48167946140233	0	19	CD47|IFI44L|LY6E|CASP1|IFITM1|IRF7|OAS1|SAMD9L|ADAR|IFITM3|UBA7|PLSCR1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00170357751277683	0.0278250993753549	0.532128057576851	2.31986850588524	0	31	HLA-DQA1|EIF4E3|IFI44L|LY6E|CASP1|IRF7|TAPBP|PSMB10|HLA-DMA|TNFAIP2|SAMD9L|ADAR|OAS2|IFITM3|RNF213|PLSCR1
HALLMARK_HEME_METABOLISM	0.00245700245700246	0.0300982800982801	-0.539415885142231	-2.22789641520664	0	22	MBOAT2|CTNS|GATA1|KLF1|CA2|BMP2K|RBM38|EPOR|XK|TOP1|HBB|MYL4|BACH1
HALLMARK_APOPTOSIS	0.00706713780918728	0.0692579505300353	0.533702829278338	1.88980594093756	3	16	CD44|CASP1|ANXA1|IFITM3|APP|DNAJC3|SOD1|GSN
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0108303249097473	0.0884476534296029	0.555877557782505	1.86006629858669	5	14	CD44|A2M|LTB|TNFRSF1B|IL12RB1
HALLMARK_COAGULATION	0.0144404332129964	0.101083032490975	0.53017137415061	1.7740487841727	7	14	A2M|SPARC|ANXA1|ISCU|GSN|MMP7
HALLMARK_INFLAMMATORY_RESPONSE	0.0238500851788756	0.13443072702332	0.449003007901157	1.69283260058077	13	19	LY6E|IFITM1|IRF7|TAPBP|TNFRSF1B|ATP2B1
HALLMARK_KRAS_SIGNALING_UP	0.0246913580246914	0.13443072702332	0.469540125412718	1.68770637041662	13	17	GNG11|TNFRSF1B|LCP1|GALNT3|HDAC9|ITGB2
HALLMARK_HEDGEHOG_SIGNALING	0.0838323353293413	0.376671122994652	-0.961244541484716	-1.28517444363842	41	1	VEGFA
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0845588235294118	0.376671122994652	0.53497537584168	1.47681592744043	45	8	DAPP1|PRKCB|AP2M1|MAPK1|TNFRSF1A|RIT1|GSK3B
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0936395759717314	0.38236160188457	0.409751668652224	1.45090319040488	52	16	CD44|SPARC|DPYSL3|GLIPR1
HALLMARK_IL2_STAT5_SIGNALING	0.132203389830508	0.498305084745763	0.31202692336878	1.37146923447123	77	32	CD44|HOPX|LTB|GLIPR2|TNFRSF1B|RRAGD|IFITM3|CDCP1|SOCS2
