Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
FREM1	1.95072662300967	12.0516278364907	0.161864160549593	-2.62714451086005	43	124	284	284	0.151408450704225	0.436619718309859	7.32556001038578e-14	1.05723008542343e-14	4.91216887552346e-26	9.00400554883451e-23
GNG11	38.5010062484897	10.9475965138455	3.51684556512447	1.81428198343608	200	133	284	284	0.704225352112676	0.46830985915493	1.58585650785366e-08	1.78195621631798e-16	1.56056740775442e-22	1.43026002920693e-19
ADAM28	22.7067374481916	15.9528910351619	1.42336190964656	0.509302533872757	221	145	284	284	0.778169014084507	0.51056338028169	3.31003485140121e-11	1.53731670831298e-09	2.3114687479626e-18	1.41230740500515e-15
CD44	41.9185912510609	24.258094247673	1.72802491502736	0.789124018732452	228	164	284	284	0.802816901408451	0.577464788732394	8.26696497696537e-09	2.34945480875223e-11	8.56261687565138e-18	3.92381918326724e-15
A2M	4.16852416996556	1.70841847739398	2.43999009910278	1.28687529368804	112	47	284	284	0.394366197183099	0.165492957746479	1.49571234890619e-09	1.82208749237717e-09	1.12947964402535e-16	4.14067237499694e-14
PDZRN4	4.32741730707864	0.667713380603978	6.48095040893788	2.69620539485671	59	14	284	284	0.207746478873239	0.0492957746478873	1.3400392347927e-08	1.2383359007726e-08	6.19542212194118e-15	1.89270145825303e-12
APBA2	0.122315372103464	2.37732008157855	0.0514509480869931	-4.28065852785857	4	38	284	284	0.0140845070422535	0.133802816901408	1.93417893909504e-08	4.72609301195143e-08	3.25684750904822e-14	8.52828783440768e-12
SYNGR2	15.990872005406	34.9951092472733	0.456945908995895	-1.12990469862372	126	187	284	284	0.443661971830986	0.658450704225352	3.75579002985149e-07	2.92443482510912e-09	3.89311974305221e-14	8.92011061126837e-12
CASC10	3.36069895913381	1.45856647815922	2.30411092634953	1.20421017382974	84	32	284	284	0.295774647887324	0.112676056338028	7.44450535988983e-08	9.1374531041142e-08	2.28706306024508e-13	4.6579850993658e-11
RP11-354E11.2	21.0826267428194	59.4215215657333	0.35479782724004	-1.49493092019657	124	177	284	284	0.436619718309859	0.623239436619718	1.16783406096505e-05	1.28430726172071e-09	4.92415618400623e-13	9.02597828528341e-11
