Sample	Normal	CNV_Subclone1	CNV_Subclone2	TOTAL	Normal_pc	CNV_pc_SB1	CNV_pc_SB2
GH001	0	560	0	560	0	1	0
GR003	26	801	0	827	0.031438936	0.968561064	0
IF0392	0	911	0	911	0	1	0
IF0308	0	684	0	684	0	1	0
GR004	0	677	0	677	0	1	0
IF0131	14	486	226	726	0.019283747	0.669421488	0.311294766
IF0393	0	650	0	650	0	1	0
GR001	31	609	108	748	0.04144385	0.814171123	0.144385027
GR005	50	55	246	351	0.142450142	0.156695157	0.700854701
GR007	54	424	0	478	0.112970711	0.887029289	0
GR006	11	367	0	378	0.029100529	0.970899471	0
IF0391	6	107	0	113	0.053097345	0.946902655	0
GR002	11	226	34	271	0.040590406	0.833948339	0.125461255
IF0318	5	11	488	504	0.009920635	0.021825397	0.968253968
