"subcluster"	"genotype"	"stage"	"cluster_corrected"	"cluster"
"MPNAML31PL176_15C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_11G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_15G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_15L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_19E"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_19F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_19K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_19O"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_21L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_23B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_23M"	"patient.1.1.2.2"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_3I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_5G"	"patient.1.1.2.2"	"unassigned"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_7E"	"patient.1.1.2.2"	"unassigned"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL176_9M"	"patient.1.1.2.2"	NA	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_11A"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_11H"	"patient.1.1.2.2"	"TP53HET"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_13B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_13C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_13H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_17F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_17P"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_19G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_1G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_21G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_21J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_23A"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_23D"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_23E"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL177_23H"	"patient.1.1.2.2"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_11C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_19M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_19N"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_1G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_21I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_23C"	"patient.1.1.2.2"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_23M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_3C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_7L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL178_9M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_11C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_13A"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_13H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_15B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_17F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_17P"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_1E"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_002"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_21D"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_21E"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_21K"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_21L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_21M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_23B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_23E"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_23L"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL179_23M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_11B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_11C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_11H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_13G"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_13I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_15M"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_17F"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_17J"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_19C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_19I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_19O"	"patient.1.1.2.2"	NA	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_23C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_23I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_23O"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_5B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_9H"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL180_9I"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_001"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_13B"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_15C"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
"MPNAML31PL181_15P"	"patient.1.1.2.2"	"TP53_multihit_HOM"	"GH001_003"	"cluster1"	"patient.1.1.2.2"
