"subcluster"	"genotype"	"stage"	"cluster_corrected"	"cluster"
"1"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"2"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"3"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"4"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"5"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"6"	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA
"8"	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	NA
"10"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"11"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"12"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"13"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"14"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"15"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"16"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"17"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"18"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"19"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"20"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"21"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"22"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"23"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"24"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"25"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"26"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"27"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GR003_AP"	"normal"	"patient.1.1.2.1"
"28"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"29"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"30"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"31"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"32"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"33"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"34"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"35"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"36"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"37"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"38"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"39"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"40"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"41"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GR003_AP"	"normal"	"patient.1.1.2.1"
"42"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"43"	"patient.1.1.2.1"	NA	"GR003_CP"	"normal"	"patient.1.1.2.1"
"44"	"patient.1.1.2.1"	"TP53HET"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"45"	"patient.1.1.2.1"	"preleukemic"	"GR003_CP"	"normal"	"patient.1.1.2.1"
"46"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GR003_AP"	"normal"	"patient.1.1.2.1"
"47"	"patient.1.1.2.1"	"preleukemic"	"GR003_AP"	"normal"	"patient.1.1.2.1"
"48"	"patient.1.1.2.1"	"TP53_multihit_HOM"	"GR003_AP"	"normal"	"patient.1.1.2.1"
"49"	"patient.1.1.2.1"	"preleukemic"	"GR003_AP"	"normal"	"patient.1.1.2.1"
"50"	"patient.1.1.2.1"	"preleukemic"	"GR003_AP"	"normal"	"patient.1.1.2.1"
