"genotype"	"cluster_corrected"	"cluster"
"MPNAML30PL165_11K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_11I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_11L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_11M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_13F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_13K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_17E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_17L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_21K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_21N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_21O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_23M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_3B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_3C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_3P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_5E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_5F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_5J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_9D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_9G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL165_9O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_11D"	NA	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_11G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_11O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_13C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_13G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_13I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_15J"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_15O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_17A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_17E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_17K"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_19A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_19O"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_19P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21C"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21D"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21F"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21I"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_21M"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_23L"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_23N"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_3A"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_3E"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_5B"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_5C"	"TP53HET"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_5G"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_5H"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
"MPNAML30PL166_7P"	"TP53_multihit_M2"	"cluster1"	"patient.1.1.1.2"
