"subcluster"	"genotype"	"cluster_corrected"	"cluster"
"MPNAML13PL62_11E"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_11A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_11G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_11L"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_13C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_17M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_19K"	"patient.1.1.1.1"	"TP53HET"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_21G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_21H"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_3D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_3G"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_3M"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5A"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5B"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5C"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5E"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5F"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5N"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_5O"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
"MPNAML13PL62_7D"	"patient.1.1.1.1"	"TP53_multihit_HOM"	"cluster1"	"patient.1.1.1.1"
