"genotype"	"cluster_corrected"	"cluster"
"MPNAML10PL35_13G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_13D"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_15C"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_17A"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_17C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_17E"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_17G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_21B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_21C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL35_21N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_11B"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_11G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_11H"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_11I"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_11J"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_11K"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_13G"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_13J"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_13N"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_15C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_17L"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_1C"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_1K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_1O"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3A"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3G"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3I"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3K"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3M"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_3P"	"TP53HET"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_5F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_5J"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_7B"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_7F"	"TP53_multihit_M2"	"del5_del9_del13_amp19"	"patient.1.1.1.2"
"MPNAML10PL36_7I"	NA	"del5_del9_del13_amp19"	"patient.1.1.1.2"
