gene_id	gene_short_name	gene_type	beta
ENSG00000198520	ARMH1	protein_coding	0.178532799739285
ENSG00000204472	AIF1	protein_coding	0.206222145612229
ENSG00000127920	GNG11	protein_coding	0.131711203177256
ENSG00000205542	TMSB4X	protein_coding	0.215848500556214
ENSG00000107968	MAP3K8	protein_coding	0.0214691796162159
ENSG00000132334	PTPRE	protein_coding	-0.0135022007606226
ENSG00000126264	HCST	protein_coding	0.0031376829811186
ENSG00000100097	LGALS1	protein_coding	0.0588723315763576
ENSG00000168461	RAB31	protein_coding	0.102653026693929
ENSG00000105339	DENND3	protein_coding	-0.302530297171269
ENSG00000111371	SLC38A1	protein_coding	0.0570035527493122
ENSG00000204482	LST1	protein_coding	-0.0699872578313804
ENSG00000229989	MIR181A1HG	lncRNA	-0.00667638521106115
ENSG00000147872	PLIN2	protein_coding	0.121665934446907
ENSG00000130592	LSP1	protein_coding	0.386387402809389
ENSG00000078596	ITM2A	protein_coding	-0.143860072080343
ENSG00000112773	TENT5A	protein_coding	-0.123623732370664
ENSG00000169155	ZBTB43	protein_coding	-0.21869476657
ENSG00000100055	CYTH4	protein_coding	0.0999674109658164
ENSG00000160255	ITGB2	protein_coding	-0.141438671551924
ENSG00000102524	TNFSF13B	protein_coding	0.0790866048147268
ENSG00000169641	LUZP1	protein_coding	0.121313269873991
ENSG00000083799	CYLD	protein_coding	-0.0663901057905297
ENSG00000167664	TMIGD2	protein_coding	0.0422367932847335
ENSG00000136381	IREB2	protein_coding	-0.188066479229345
ENSG00000163466	ARPC2	protein_coding	-0.105189164371914
ENSG00000162924	REL	protein_coding	-0.101894403031385
ENSG00000163961	RNF168	protein_coding	-0.0608784817131306
ENSG00000184007	PTP4A2	protein_coding	0.136865198840045
ENSG00000188994	ZNF292	protein_coding	0.599648424586855
ENSG00000116560	SFPQ	protein_coding	-0.610905207148382
ENSG00000188529	SRSF10	protein_coding	0.802305986893633
ENSG00000102879	CORO1A	protein_coding	-0.476996730800193
ENSG00000198833	UBE2J1	protein_coding	-0.139786061158983
ENSG00000142634	EFHD2	protein_coding	-0.123379895664403
ENSG00000115415	STAT1	protein_coding	-0.26946467427729
ENSG00000111640	GAPDH	protein_coding	-0.118100568874724
ENSG00000160799	CCDC12	protein_coding	-0.0451787007737766
ENSG00000187608	ISG15	protein_coding	0.104836031448372
ENSG00000147649	MTDH	protein_coding	0.971972830942005
ENSG00000026508	CD44	protein_coding	-0.340484666156539
ENSG00000138433	CIR1	protein_coding	0.288342855451678
ENSG00000128040	SPINK2	protein_coding	0.0361208220505561
ENSG00000164929	BAALC	protein_coding	-0.104587923113457
