pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00156494522691706	0.00543773790103317	0.534375417089283	1.7882043764926	0	88	NAMPT|NFKBIA|PELI1|TNFAIP3|IFI27|HIF1A|JAK2|CDKN1A|PTGS2|CSF2RB|PDE4B|HLA-B|STAT4|ARL4A|LATS2|NFKB1|PNP|SOD2|EIF2AK2|MTHFD2|RIPK2
HALLMARK_MTORC1_SIGNALING	0.00156494522691706	0.00543773790103317	0.556828888845246	1.86334143403198	0	88	NAMPT|CALR|SLC2A3|SLC2A1|BHLHE40|NFIL3|ETF1|CDKN1A|TFRC|HMBS|HSPA9|DDX39A|ARPC5L|PNP|PSMD12|DDIT4|RAB1A|PNO1|SLC7A5|MTHFD2|GLA|NFKBIB|ELOVL6|HSPA5|LDLR|ATP2A2|ALDOA|HSP90B1
HALLMARK_HYPOXIA	0.0015748031496063	0.00543773790103317	0.60536384506014	1.97992214335735	0	76	MAFF|PLIN2|TNFAIP3|FOSL2|SLC2A3|SLC2A1|SELENBP1|BHLHE40|NFIL3|CDKN1A|TIPARP|VEGFA|DDIT4|IDS|PLAUR|ZNF292|NDRG1|HSPA5|TGM2|ALDOA|CHST2|MT2A|MXI1|NEDD4L
HALLMARK_UV_RESPONSE_UP	0.00157728706624606	0.00543773790103317	0.567700323911991	1.8582432540622	0	77	CA2|CXCL2|DDX21|NFKBIA|BTG3|TFRC|IL6ST|CDC5L|EIF5|CEBPG|KCNH2|SOD2|RHOB|GAL
HALLMARK_E2F_TARGETS	0.00158478605388273	0.00543773790103317	0.556539691985962	1.9072043560054	0	110	TP53|CDKN1A|TFRC|SYNCRIP|CDC20|ILF3|CDKN3|BIRC5|DDX39A|TOP2A|KPNA2|SNRPB|TRA2B|MTHFD2|POLE4|PCNA|TUBB|MKI67|TK1|ATAD2|PTTG1|HMGB3|MYBL2|PRKDC|RAD51AP1|CENPM|NME1|HMMR|NOLC1|RAN|MCM4|NUP153|RANBP1|RAD21|CTPS1|SMC3|NUDT21|CENPE|ORC6|KIF2C|PPP1R8|CCNE1|PRPS1|DEPDC1|IPO7|EZH2|ING3|RFC1|E2F8|DIAPH3|CDKN2A|SPC25
HALLMARK_IL2_STAT5_SIGNALING	0.00158478605388273	0.00543773790103317	0.569520287959775	1.88091232151926	0	80	MAFF|PLIN2|CA2|CD83|SNX9|SLC2A3|BHLHE40|NFIL3|DHRS3|CSF1|MAP3K8|ODC1|ARL4A|RGS16|GADD45B|PNP|RHOB|AHCY|IL1RL1|NDRG1|MAPKAPK2|TGM2|MXD1
HALLMARK_P53_PATHWAY	0.00159235668789809	0.00543773790103317	0.569384765674957	1.87698078654078	0	83	TP53|PLK3|MDM2|TSPYL2|CDKN1A|DNTTIP2|DCXR|TRIAP1|AEN|RGS16|TNFSF9|GADD45A|IER5|DDIT4|NINJ1|PCNA|HBEGF|NDRG1|MXD1|ZBTB16|STEAP3|CCND2|BAIAP2
HALLMARK_ESTROGEN_RESPONSE_LATE	0.00159744408945687	0.00543773790103317	0.599528687391243	1.94173329168123	0	74	AREG|CA2|ID2|CKB|BTG3|JAK2|CDC20|DCXR|IL6ST|KCNK5|DUSP2|TOP2A|ST6GALNAC2|EGR3|NMU|SLC7A5|GLA|GAL
HALLMARK_HEME_METABOLISM	0.00159744408945687	0.00543773790103317	0.605732229596978	2.05525405441543	0	102	CA1|HBB|HBD|CA2|MYL4|SLC2A1|SELENBP1|RHAG|ANK1|KEL|AHSP|ALAS2|ELL2|TFRC|RHCE|HMBS|SMOX|GYPB|TOP1|HBQ1|RBM38|KLF3|TAL1|YPEL5|PDZK1IP1|PICALM|RHD|ISCA1
HALLMARK_G2M_CHECKPOINT	0.0016025641025641	0.00543773790103317	0.528423176757711	1.80066004363784	0	105	HIF1A|SFPQ|YTHDC1|SYNCRIP|ODC1|CDC20|ILF3|CENPF|TOP1|CDKN3|BIRC5|DDX39A|TOP2A|KPNA2|RAD23B|UBE2C|TRA2B|SMC2|SRSF10|CCNT1|SLC7A5|WRN|MKI67|KIF20B|MARCKS|PTTG1|HMGB3|MYBL2|HMMR|DBF4|MT2A|NOLC1|CCND1|RAD21|E2F3|HMGN2|TPX2|EXO1|DKC1|CENPE|ORC6|CENPA|KIF2C|BUB1|SNRPD1|BCL3|EZH2
HALLMARK_COMPLEMENT	0.0016025641025641	0.00543773790103317	0.561394370563559	1.80599835307959	0	72	MAFF|CA2|APOC1|CD36|TNFAIP3|JAK2|USP16|USP14|SH2B3|CXCL1|PLAUR|CALM3|HSPA5|ADAM9|USP15|CTSL
HALLMARK_MYC_TARGETS_V1	0.0016025641025641	0.00543773790103317	0.52541885632861	1.75051228410296	0	92	DDX21|ETF1|ILF2|SYNCRIP|ODC1|CDC20|PABPC4|HNRNPA3|KPNA2|RAD23B|NOP16|TRA2B|HSP90AB1|PCNA|EIF4A1|TYMS|SSB|SNRPA1|NME1|ERH|POLE3|SRSF7|NOLC1|RAN|MCM4|RANBP1|CTPS1|HNRNPA1|HNRNPC|HNRNPA2B1|EIF3B|SNRPD1|PGK1|TCP1|EIF3D|SMARCC1|PSMC6|PTGES3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00160513643659711	0.00543773790103317	0.779036462859045	2.67810291830442	0	115	AREG|MAFF|PER1|NR4A2|ID2|CXCL2|CD83|SIK1|NAMPT|FOSL1|CCNL1|NFKBIA|TNFAIP3|FOSL2|BTG3|SLC2A3|EIF1|NR4A3|BHLHE40|NFIL3|ZC3H12A|CDKN1A|CSF1|KLF2|RELB|MAP3K8|CXCL3|YRDC|TIPARP|PTGS2|IL6ST|VEGFA|MCL1|PDE4B|DUSP2|GADD45B|KDM6B|TNFSF9|GADD45A|NFKB1|CXCL1|IER5|EGR3|SOD2|HES1|RHOB|RIPK2|NINJ1|PLAUR|NFKBIE|HBEGF|MARCKS|LDLR|MXD1|ABCA1
HALLMARK_DNA_REPAIR	0.00162074554294976	0.00543773790103317	0.598672445288027	1.88605302278237	0	66	TP53|EIF1B|RNMT|GTF2F1|PDE4B|POLR1C|TAF13|PNP|ZWINT|MPC2|POLE4|PCNA|NME4|ALYREF|TYMS|DCTN4|NME1
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00163132137030995	0.00543773790103317	0.590976315361843	1.86235230524179	0	67	AREG|RRP12|SLC2A1|BHLHE40|DHRS3|JAK2|DLC1|TIPARP|IL6ST|KCNK5|EGR3|HES1|SLC7A5|GLA|ELF1|TGM2|ABHD2|TUBB2B|NCOR2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00495049504950495	0.015470297029703	0.600899421853056	1.80096903244193	2	52	CALR|TSPYL2|ATF4|SPCS3|HSPA9|VEGFA|CEBPG|DDIT4|BAG3|SLC7A5|MTHFD2|LSM4|HSPA5|EIF4A1|HSP90B1|CNOT2|FUS|NOLC1|HERPUD1|DKC1|DNAJA4|DCP1A|HYOU1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0114192495921697	0.0335860282122637	0.554609392800913	1.69445904042837	6	57	AREG|ID2|TNFAIP3|TIMP3|VEGFA|GADD45B|GADD45A|CXCL1|TNFRSF12A|RHOB|PLAUR
HALLMARK_KRAS_SIGNALING_DN	0.0193661971830986	0.0537949921752739	0.618921274752081	1.69910755571131	10	32	NR4A2|SKIL|PNMT|IFI44L|GPRC5C|ZBTB16|CHST2|STAG3|SGK1|BMPR1B|ARPP21|KMT2D
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0204460966542751	0.0538055175112502	0.715021384730212	1.76164534757353	10	17	TP53|CTNNB1|LEF1|NCOR2|CCND2
HALLMARK_MYOGENESIS	0.0402010050251256	0.100502512562814	0.533282785223415	1.55986744197105	23	43	CD36|CKB|MYL4|BHLHE40|CDKN1A|GADD45B|KCNH2
