Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
TP53	1908.00040665704	10.7379752457963	177.687167550883	7.47319568442664	715	403	730	730	0.979452054794521	0.552054794520548	1.0811377620958e-96	1.74458102647878e-112	9.040292529699e-206	5.60407733916041e-202
GRASP	34.9750524637143	1.1065726191082	31.6066490890595	4.98215618489555	402	53	730	730	0.550684931506849	0.0726027397260274	2.9585863713904e-94	1.29683746339758e-88	1.60656969263466e-179	4.97956276232113e-176
CA1	3.75787189516477	0.0269242894042979	139.571813344307	7.12486380715142	313	12	730	730	0.428767123287671	0.0164383561643836	2.38045455833077e-94	7.31288609508948e-80	6.94218362201544e-171	1.43448654242912e-167
HBB	19.9488851759386	0.13552787356402	147.193965723334	7.20157471851025	360	41	730	730	0.493150684931507	0.0561643835616438	6.26400255413955e-86	3.93717965313185e-81	9.42912679524593e-164	1.46127892509324e-160
HIST1H2BB	0.0877921304771235	14.5625438606369	0.00602862599538182	-7.37395505459718	22	317	730	730	0.0301369863013699	0.434246575342466	3.9462947257041e-85	1.19187709410912e-76	1.74108405379168e-158	2.15859600989092e-155
RSPO1	0.0154560072161751	5.28491677039185	0.00292455073328035	-8.41756926839353	8	264	730	730	0.010958904109589	0.361643835616438	1.72568981961738e-79	9.98114673846025e-67	5.75864031181051e-143	5.94963521548556e-140
AREGB	45.5940211408359	1.03279742308298	44.1461414618311	5.46421544131945	309	32	730	730	0.423287671232877	0.0438356164383562	4.77954837202974e-73	3.66384592134592e-67	5.6124284096949e-137	4.97020624452839e-134
HBD	5.60446535300786	0.866695978044183	6.46647209054218	2.69297883654255	366	68	730	730	0.501369863013699	0.0931506849315069	1.8822403225637e-69	2.93042616003782e-69	1.74876891296964e-135	1.35507731143735e-132
AREG	43.0111739136741	1.54107943142069	27.9097709285647	4.8026983783175	312	37	730	730	0.427397260273973	0.0506849315068493	3.14251912283671e-70	2.10759669840351e-65	2.05290508022296e-132	1.41399539914468e-129
MAFF	22.0866488049098	0.810838607587325	27.2392663573696	4.76761594225945	322	51	730	730	0.441095890410959	0.0698630136986301	5.25945397055427e-64	4.79529010329017e-62	7.26096399995829e-123	4.50107158357414e-120
PER1	30.3077857091456	3.59493983150298	8.43067954672123	3.07564892288414	437	140	730	730	0.598630136986301	0.191780821917808	1.36015554826123e-58	2.04122838038881e-63	7.73478530989277e-119	4.35890310327503e-116
GIMAP7	4.04548414738701	33.0082654931038	0.122559731235566	-3.028443056232	84	351	730	730	0.115068493150685	0.480821917808219	4.14402434483372e-55	4.4363697549373e-55	4.62134524186114e-107	2.38730992952477e-104
NR4A2	34.5645318737383	1.11573789357525	30.9790785746107	4.95322232889189	341	87	730	730	0.467123287671233	0.119178082191781	2.73064481664784e-50	1.46358173813527e-55	9.64704473413653e-103	4.6001561774548e-100
IL8	17.6151134143669	0.686506817824201	25.6590509475141	4.68139590527459	297	57	730	730	0.406849315068493	0.0780821917808219	1.19825783879578e-51	1.48995235893201e-50	4.15952810922595e-99	1.84177962493512e-96
PLIN2	9.59678647392773	0.861413869040619	11.1407382895007	3.47777293719798	316	69	730	730	0.432876712328767	0.0945205479452055	2.85803218066246e-51	7.16614875872223e-51	4.76890110879892e-99	1.9708278648963e-96
MTRNR2L12	1.96629629982444	16.532873820322	0.118932517189328	-3.07178488044236	287	523	730	730	0.393150684931507	0.716438356164384	8.18667688429728e-36	1.45957742021283e-52	2.40352135662528e-85	9.31214305607505e-83
HIST2H2AA4	1.4746797202684	5.19791868183873	0.283705808138334	-1.8175324085451	257	498	730	730	0.352054794520548	0.682191780821918	6.94387332491102e-37	9.79571750649158e-51	1.35637547748467e-84	4.94598328525144e-82
CA2	2.26359824109451	0.231247377054432	9.78864396183702	3.29110901457514	194	19	730	730	0.265753424657534	0.026027397260274	4.98266853667141e-43	1.37140311680965e-38	1.26816588992048e-78	4.36742241756504e-76
ID2	127.897806725875	22.6326634449852	5.65102764138941	2.49851324599241	542	328	730	730	0.742465753424657	0.449315068493151	2.10204291727661e-30	8.39123219630029e-49	3.17557336363093e-76	1.03607259374464e-73
UCP2	5.21421547977631	46.6421896831709	0.111791824423236	-3.16111341024235	272	485	730	730	0.372602739726027	0.664383561643836	4.84943888872084e-29	7.36157864541741e-50	6.40196328837393e-76	1.9842885212315e-73
CXCL2	76.7553564308219	5.06270642243665	15.1609337034953	3.92228670116165	362	140	730	730	0.495890410958904	0.191780821917808	5.94567958609189e-35	7.62556991769293e-42	7.91100407912573e-74	2.33525306126192e-71
SKIL	9.15285978572046	0.895603668385634	10.219765850467	3.35329023732338	274	69	730	730	0.375342465753425	0.0945205479452055	3.09320381832271e-38	5.50761221966345e-38	2.95000192868078e-73	8.31230088904187e-71
FTH1	46.6841994155134	8.9041114862236	5.24299358647328	2.39039078106906	636	537	730	730	0.871232876712329	0.735616438356164	7.7235787466912e-11	2.67059472416011e-64	3.5202774278823e-72	9.48791294584452e-70
