NAME	NES	FDR_qval
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.939091	0
HALLMARK_FATTY_ACID_METABOLISM	1.7847438	0.005386367
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.7022046	0.011018106
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.6558416	0.013271766
HALLMARK_MYC_TARGETS_V2	1.6333851	0.01413097
HALLMARK_GLYCOLYSIS	1.5433171	0.030231694
HALLMARK_DNA_REPAIR	1.3623717	0.08444658
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-2.1480033	0
HALLMARK_TGF_BETA_SIGNALING	-1.9464984	0
HALLMARK_APOPTOSIS	-1.6543139	0.012737264
HALLMARK_HYPOXIA	-1.5734947	0.028114645
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-1.44071	0.0586016
HALLMARK_G2M_CHECKPOINT	-1.3875883	0.07537297
HALLMARK_IL6_JAK_STAT3_SIGNALING	-1.282162	0.122278
