"gene"	"Mean_pre-TP53-sAML"	"Mean_CP-TP53-MPN"	"log2fc"	"ExpressingCells_pre-TP53-sAML"	"nCells_pre-TP53-sAML"	"nCells_CP-TP53-MPN"	"ExpressingCells_CP-TP53-MPN"	"ExpressingFraction_pre-TP53-sAML"	"ExpressingFraction_CP-TP53-MPN"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"MTRNR2L8"	3.65748641979916	1.10919038520601	-2.54829603459315	296	273	283	103	0.956081081081081	0.377289377289377	9.05380804309488e-49	6.53527210623075e-55	6.50288920890658e-47	9.86442499922806e-99	1.92277372084953e-94	"up_in_pre-TP53-sAML"	NA
"DYNLL1"	4.36591564154456	0.570671668634738	-3.79524397290982	296	273	221	49	0.746621621621622	0.179487179487179	3.04648478850317e-41	4.85707833374797e-44	6.61142698692481e-49	6.79723114523627e-90	6.62458147414726e-86	"up_in_pre-TP53-sAML"	NA
"PSME4"	0.921374316137056	3.73155075756664	2.81017644142959	296	273	87	229	0.293918918918919	0.838827838827839	1.51988105028646e-38	3.31327848943248e-41	9.9583574903481e-43	6.29939575552971e-81	4.09292740222617e-77	"up_in_CP-TP53-MPN"	NA
"TRMT112"	4.19529025881859	1.09005485040729	-3.1052354084113	296	273	238	82	0.804054054054054	0.3003663003663	2.96373284961071e-33	8.05020210317503e-35	2.67426955004967e-43	3.82198742610652e-75	1.86245447274171e-71	"up_in_pre-TP53-sAML"	NA
"IFITM1"	3.35075984665602	0.74691147414281	-2.60384837251321	296	273	224	66	0.756756756756757	0.241758241758242	3.38899606884758e-34	5.35576605152058e-36	9.26126875274527e-40	8.53599021249038e-73	3.32767042443725e-69	"up_in_pre-TP53-sAML"	"IFITM1"
"RP11-386I14.4"	0.687114416200056	2.58138276274741	1.89426834654735	296	273	100	227	0.337837837837838	0.831501831501832	3.27491040312184e-32	4.25547149163806e-34	2.29181244604893e-38	1.60440980654851e-69	5.21219265820725e-66	"up_in_CP-TP53-MPN"	NA
"EIF1B"	1.79622128941312	4.84702111055718	3.05079982114406	296	273	116	242	0.391891891891892	0.886446886446886	8.82943791836082e-34	1.56749628014398e-36	2.00891957686744e-35	5.14342275407045e-69	1.43222280460487e-65	"up_in_CP-TP53-MPN"	NA
"CDC42"	1.19266743606914	4.0143361683017	2.82166873223256	296	273	133	239	0.449324324324324	0.875457875457875	3.47008315152841e-26	6.3266626573438e-28	1.31610179931996e-40	1.29441220015308e-65	3.15383532567297e-62	"up_in_CP-TP53-MPN"	NA
"CCNL1"	2.37192609644966	5.54464257000018	3.17271647355052	296	273	162	260	0.547297297297297	0.952380952380952	8.05390705972749e-28	1.80115205926652e-31	4.11425973847686e-36	1.13579548254931e-64	2.45988061620568e-61	"up_in_CP-TP53-MPN"	NA
"JUND"	3.09778776541404	6.36796311079519	3.27017534538115	296	273	207	265	0.699324324324324	0.970695970695971	2.09719608940006e-17	9.16201655214751e-20	1.06834604455021e-47	1.49751715570365e-64	2.91896043989755e-61	"up_in_CP-TP53-MPN"	NA
"GRASP"	0.297497305654331	2.32532206022808	2.02782475457375	296	273	26	147	0.0878378378378378	0.538461538461538	5.02684028317884e-31	2.46886202123914e-33	6.82924868981995e-32	2.49270386460102e-62	4.41707124807301e-59	"up_in_CP-TP53-MPN"	NA
"CALM2"	7.80778853676516	4.3421757436447	-3.46561279312045	296	273	288	213	0.972972972972973	0.78021978021978	3.60308562026732e-12	1.8837329803527e-13	5.19685586886253e-47	1.33992449552147e-57	2.17648402222538e-54	"up_in_pre-TP53-sAML"	NA
"H1FX"	2.04044366532	5.20131496948015	3.16087130416015	296	273	187	252	0.631756756756757	0.923076923076923	3.10933002343748e-16	1.40603988964603e-17	1.44768171595762e-42	2.77116353320218e-57	4.15503996839822e-54	"up_in_CP-TP53-MPN"	NA
"AL122127.25"	2.09330184521918	0.483911628140014	-1.60939021707917	296	273	200	60	0.675675675675676	0.21978021978022	2.70196401536392e-27	1.74260055414904e-28	1.60285275574156e-30	3.72946740075906e-56	5.19248418397112e-53	"up_in_pre-TP53-sAML"	NA
"BTG3"	0.813794244022331	2.9460659798032	2.13227173578087	296	273	65	187	0.219594594594595	0.684981684981685	1.55536337636012e-28	1.3997762088169e-29	4.16029153971605e-29	7.73288100201281e-56	1.00486210994156e-52	"up_in_CP-TP53-MPN"	NA
