"subcluster"	"cell_id"
"patient.1.1.1.1"	"MPNAML08PL19_11C"
"patient.1.1.1.1"	"MPNAML08PL19_11H"
"patient.1.1.1.1"	"MPNAML08PL19_11J"
"patient.1.1.1.1"	"MPNAML08PL19_11N"
"patient.1.1.1.1"	"MPNAML08PL19_11P"
"patient.1.1.1.1"	"MPNAML08PL19_13C"
"patient.1.1.1.1"	"MPNAML08PL19_13D"
"patient.1.1.1.1"	"MPNAML08PL19_13E"
"patient.1.1.1.1"	"MPNAML08PL19_13G"
"patient.1.1.1.1"	"MPNAML08PL19_13J"
"patient.1.1.1.1"	"MPNAML08PL19_13M"
"patient.1.1.1.1"	"MPNAML08PL19_15D"
"patient.1.1.1.1"	"MPNAML08PL19_15F"
"patient.1.1.1.1"	"MPNAML08PL19_15G"
"patient.1.1.1.1"	"MPNAML08PL19_15H"
"patient.1.1.1.1"	"MPNAML08PL19_15L"
"patient.1.1.1.1"	"MPNAML08PL19_15M"
"patient.1.1.1.1"	"MPNAML08PL19_15O"
"patient.1.1.1.1"	"MPNAML08PL19_17C"
"patient.1.1.1.1"	"MPNAML08PL19_17D"
"patient.1.1.1.1"	"MPNAML08PL19_17E"
"patient.1.1.1.1"	"MPNAML08PL19_17H"
"patient.1.1.1.1"	"MPNAML08PL19_17I"
"patient.1.1.1.1"	"MPNAML08PL19_17J"
"patient.1.1.1.1"	"MPNAML08PL19_17L"
"patient.1.1.1.1"	"MPNAML08PL19_19B"
"patient.1.1.1.1"	"MPNAML08PL19_19C"
"patient.1.1.1.1"	"MPNAML08PL19_19N"
"patient.1.1.1.1"	"MPNAML08PL19_19O"
"patient.1.1.1.1"	"MPNAML08PL19_19P"
"patient.1.1.1.1"	"MPNAML08PL19_1F"
"patient.1.1.1.1"	"MPNAML08PL19_1G"
"patient.1.1.1.1"	"MPNAML08PL19_1J"
"patient.1.1.1.1"	"MPNAML08PL19_21A"
"patient.1.1.1.1"	"MPNAML08PL19_21D"
"patient.1.1.1.1"	"MPNAML08PL19_21E"
"patient.1.1.1.1"	"MPNAML08PL19_21F"
"patient.1.1.1.1"	"MPNAML08PL19_21G"
"patient.1.1.1.1"	"MPNAML08PL19_21I"
"patient.1.1.1.1"	"MPNAML08PL19_21L"
"patient.1.1.1.1"	"MPNAML08PL19_21N"
"patient.1.1.1.1"	"MPNAML08PL19_23A"
"patient.1.1.1.1"	"MPNAML08PL19_23B"
"patient.1.1.1.1"	"MPNAML08PL19_23D"
"patient.1.1.1.1"	"MPNAML08PL19_23E"
"patient.1.1.1.1"	"MPNAML08PL19_23F"
"patient.1.1.1.1"	"MPNAML08PL19_23G"
"patient.1.1.1.1"	"MPNAML08PL19_23L"
"patient.1.1.1.1"	"MPNAML08PL19_23M"
"patient.1.1.1.1"	"MPNAML08PL19_23N"
"patient.1.1.1.1"	"MPNAML08PL19_23O"
"patient.1.1.1.1"	"MPNAML08PL19_23P"
"patient.1.1.1.1"	"MPNAML08PL19_3A"
"patient.1.1.1.1"	"MPNAML08PL19_3B"
"patient.1.1.1.1"	"MPNAML08PL19_3P"
"patient.1.1.1.1"	"MPNAML08PL19_7D"
"patient.1.1.1.1"	"MPNAML08PL19_7F"
"patient.1.1.1.1"	"MPNAML08PL19_7I"
"patient.1.1.1.1"	"MPNAML08PL19_7J"
"patient.1.1.1.1"	"MPNAML08PL19_7P"
"patient.1.1.1.1"	"MPNAML08PL19_9C"
"patient.1.1.1.1"	"MPNAML08PL19_9D"
