"genotype"	"cluster_corrected"	"cluster"
"MPNAML16PL74_11P"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL74_11M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL74_3M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL74_7A"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL74_7P"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL75_11D"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL75_11G"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL75_11M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL75_11N"	"TP53_multihit_HOM"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL75_7O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL76_13J"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL76_17P"	"TP53_multihit_HOM"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_11O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_15D"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_15K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_15L"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_15N"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_19E"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_23L"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_3B"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL77_9D"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_11O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_13B"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_13K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_13L"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_15N"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_19F"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_1D"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_21N"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_3G"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_3L"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_7B"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_7N"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_9B"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL78_9F"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_11O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_5F"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_5L"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_5O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_5P"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_9C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_9G"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_9J"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL79_9K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.2"
"MPNAML16PL74_11B"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_11A"	"TP53_multihit_HOM"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_11F"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_11K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_13C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_19L"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_1O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_23H"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_3A"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_3E"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_3O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_7K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_9C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_9G"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_9I"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL74_9K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_11I"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_11K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_19D"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_23D"	"TP53_multihit_HOM"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_3M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_3P"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_5H"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_5K"	NA	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_7C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_7D"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_7E"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_7J"	"TP53_multihit_HOM"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_9C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL75_9M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_13E"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_13P"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_19J"	NA	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_7L"	NA	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_7M"	NA	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_9A"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_9C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL76_9K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_11A"	"preleukemic"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_11M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_13G"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_13M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_15E"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_15M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_19J"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_1O"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_3A"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL77_9I"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_11H"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_11M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_13G"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_13M"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_15C"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_15I"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
"MPNAML16PL78_15K"	"TP53_multihit_M2"	"chr5_chr7_chr9_chr21"	"patient.1.1.1.1"
